Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
KMT-2021-BLG-2478L b,,0.9 Jupiters,Unknown,2023,,,,,,
KMT-2021-BLG-0909L b,,1.26 Jupiters,Unknown,2023,1.22 x Jupiter (estimate),Gas Giant,Microlensing,1.75 AU,3.8 years,
KMT-2021-BLG-0712L b,,38.19 Earths,Unknown,2023,0.616 x Jupiter (estimate),Gas Giant,Microlensing,2.22 AU,7.1 years,
HD 18438 b,,21 Jupiters,5.50474,2023,1.08 x Jupiter (estimate),Gas Giant,Radial Velocity,2.1 AU,2.2 years,0.1
OGLE-2018-BLG-0799L b,,0.26 Jupiters,Unknown,2022,0.971 x Jupiter (estimate),Gas Giant,Microlensing,1.28 AU,4.8 years,
Kepler-1976 b,,Unknown,15.445,2023,1.043 x Jupiter,Gas Giant,Transit Timing Variations,0.0565 AU,5 days,0.0
HD 169142 b,,3 Jupiters,8.156,2023,1.17 x Jupiter (estimate),Gas Giant,Imaging,37.2 AU,166.9 years,
TOI-5205 b,,1.08 Jupiters,15.899,2023,1.03 x Jupiter,Gas Giant,Transit,0.0199 AU,1.6 days,0.02
TOI-2497 b,,4.82 Jupiters,9.547,2023,0.994 x Jupiter,Gas Giant,Transit,0.1166 AU,10.7 days,0.2
TOI-2154 b,,0.92 Jupiters,11.068,2023,1.453 x Jupiter,Gas Giant,Transit,0.0513 AU,3.8 days,0.12
TOI-2152 A b,,2.83 Jupiters,11.436,2023,1.281 x Jupiter,Gas Giant,Transit,0.05064 AU,3.4 days,0.06
TOI-2145 b,,5.5596 Jupiters,9.07,2023,1.108 x Jupiter,Gas Giant,Transit,0.111 AU,10.3 days,0.21
TOI-181 b,,0.1452 Jupiters,11.191,2023,0.634 x Jupiter,Gas Giant,Transit,0.0539 AU,4.5 days,0.15
TOI-1811 b,,0.972 Jupiters,11.966,2023,0.994 x Jupiter,Gas Giant,Transit,0.04389 AU,3.7 days,0.05
TIC 279401253 c,,8.02 Jupiters,11.938,2023,1.12 x Jupiter (estimate),Gas Giant,Transit,0.591 AU,155.3 days,0.25
TIC 279401253 b,,6.14 Jupiters,11.938,2023,1.0 x Jupiter,Gas Giant,Transit,0.369 AU,76.8 days,0.45
GJ 463 b,,3.6 Jupiters,11.595,2022,1.16 x Jupiter (estimate),Gas Giant,Radial Velocity,3.53 AU,9.4 years,0.09
TOI-4791 b,,2.31 Jupiters,11.541,2023,1.11 x Jupiter,Gas Giant,Transit,0.0555 AU,4.3 days,0.0
TOI-4463 A b,,0.794 Jupiters,11.036,2023,1.183 x Jupiter,Gas Giant,Transit,0.04036 AU,2.9 days,0.0
TOI-4145 A b,,0.43 Jupiters,12.084,2023,1.187 x Jupiter,Gas Giant,Transit,0.04823 AU,4.1 days,0.0
TOI-4087 b,,0.73 Jupiters,12.107,2023,1.164 x Jupiter,Gas Giant,Transit,0.04469 AU,3.2 days,0.0
TOI-3976 A b,,0.175 Jupiters,12.403,2023,1.095 x Jupiter,Gas Giant,Transit,0.0743 AU,6.6 days,0.0
TOI-3912 b,,0.406 Jupiters,12.507,2023,1.274 x Jupiter,Gas Giant,Transit,0.0463 AU,3.5 days,0.0
TOI-3819 b,,1.11 Jupiters,12.542,2023,1.172 x Jupiter,Gas Giant,Transit,0.04611 AU,3.2 days,0.0
TOI-3807 b,,1.04 Jupiters,11.856,2023,1.65 x Jupiter,Gas Giant,Transit,0.0421 AU,2.9 days,0.0
TOI-3688 A b,,0.98 Jupiters,12.241,2023,1.167 x Jupiter,Gas Giant,Transit,0.0456 AU,3.2 days,0.0
TOI-3364 b,,1.67 Jupiters,11.875,2023,1.091 x Jupiter,Gas Giant,Transit,0.0675 AU,5.9 days,0.0
TOI-3023 b,,0.62 Jupiters,12.252,2023,1.466 x Jupiter,Gas Giant,Transit,0.0505 AU,3.9 days,0.0
TOI-2977 b,,1.68 Jupiters,12.6334,2023,1.174 x Jupiter,Gas Giant,Transit,0.03386 AU,2.4 days,0.0
TOI-2842 b,,0.37 Jupiters,12.59,2023,1.146 x Jupiter,Gas Giant,Transit,0.0475 AU,3.6 days,0.0
TOI-2818 b,,0.71 Jupiters,11.937,2023,1.363 x Jupiter,Gas Giant,Transit,0.0493 AU,4 days,0.0
TOI-2803 A b,,0.975 Jupiters,12.537,2023,1.616 x Jupiter,Gas Giant,Transit,0.03185 AU,2 days,0.0
L 363-38 b,,4.67 Earths,13.027,2023,2.0 x Earth (estimate),Super Earth,Radial Velocity,0.048 AU,8.8 days,
TOI-836 c,,9.6 Earths,9.92,2023,2.587 x Earth,Super Earth,Transit,0.075 AU,8.6 days,0.08
TOI-836 b,,4.53 Earths,9.92,2023,1.704 x Earth,Super Earth,Transit,0.0422 AU,3.8 days,0.05
TOI-2796 b,,0.44 Jupiters,12.475,2023,1.54 x Jupiter,Gas Giant,Transit,0.0569 AU,4.8 days,0.0
TOI-2587 A b,,0.218 Jupiters,11.544,2023,1.077 x Jupiter,Gas Giant,Transit,0.0635 AU,5.5 days,0.0
TOI-2583 A b,,0.25 Jupiters,12.586,2023,1.29 x Jupiter,Gas Giant,Transit,0.0571 AU,4.5 days,0.0
TOI-2364 b,,0.225 Jupiters,12.234,2023,0.768 x Jupiter,Gas Giant,Transit,0.04871 AU,4 days,0.0
TOI-1937 A b,,2.01 Jupiters,13.18,2023,1.247 x Jupiter,Gas Giant,Transit,0.01932 AU,0.9 days,0.0
Wolf 1069 b,,1.26 Earths,13.993,2023,1.08 x Earth (estimate),Super Earth,Radial Velocity,0.0672 AU,15.6 days,
TOI-3235 b,,0.665 Jupiters,15.16,2023,1.017 x Jupiter,Gas Giant,Transit,0.02709 AU,2.6 days,< 0.029
TOI-2525 c,,0.657 Jupiters,14.216,2023,0.904 x Jupiter,Gas Giant,Transit,0.249 AU,49.3 days,0.16
TOI-2525 b,,26.69759 Earths,14.216,2023,0.774 x Jupiter,Neptune-like,Transit,0.1511 AU,23.3 days,0.17
AF Leporis b,,3.2 Jupiters,6.332,2023,1.17 x Jupiter (estimate),Gas Giant,Imaging,8.4 AU,22 years,0.24
OGLE-2019-BLG-1492L b,,37.1 Earths,Unknown,2022,0.606 x Jupiter (estimate),Neptune-like,Microlensing,2.7 AU,5.4 years,
OGLE-2019-BLG-1053L b,,2.48 Earths,Unknown,2021,1.38 x Earth (estimate),Super Earth,Microlensing,3.4 AU,8 years,
OGLE-2018-BLG-0977L b,,6.4 Earths,Unknown,2022,0.215 x Jupiter (estimate),Neptune-like,Microlensing,2 AU,4.1 years,
OGLE-2018-BLG-0516L b,,20.1 Earths,Unknown,2022,0.422 x Jupiter (estimate),Neptune-like,Microlensing,2.2 AU,4.8 years,
