Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
Kepler-1802 b,,3.43 Earths,15.905,2021,1.671 x Earth,Super Earth,Transit,0.0662 AU,15.5 days,0.0
Kepler-1783 b,,2.3 Earths,13.309,2021,1.319 x Earth,Super Earth,Transit,0.077 AU,8.3 days,0.0
Kepler-1772 b,,7.68 Earths,13.546,2021,0.24 x Jupiter,Neptune-like,Transit,0.0418 AU,3.2 days,0.0
Kepler-1769 b,,18.2 Earths,12.487,2021,0.398 x Jupiter,Neptune-like,Transit,0.3987 AU,89.2 days,0.0
Kepler-1726 b,,6.84 Earths,13.851,2021,0.224 x Jupiter,Neptune-like,Transit,0.1306 AU,18.4 days,0.0
Kepler-1723 b,,8.65 Earths,14.383,2021,0.257 x Jupiter,Neptune-like,Transit,0.2249 AU,39.8 days,0.0
Kepler-1717 b,,9.21 Earths,13.323,2021,0.267 x Jupiter,Neptune-like,Transit,0.2014 AU,30.7 days,0.0
Kepler-1468 d,,11.1 Earths,15.111,2021,0.297 x Jupiter,Neptune-like,Transit,0.1456 AU,19.6 days,0.0
Kepler-1969 b,,3.47 Earths,15.851,2021,1.682 x Earth,Super Earth,Transit,0.0717 AU,6.6 days,0.0
Kepler-1917 b,,4.23 Earths,15.474,2021,1.89 x Earth,Super Earth,Transit,0.103 AU,12.9 days,0.0
Kepler-1894 b,,1.87 Earths,15.452,2021,1.201 x Earth,Super Earth,Transit,0.0385 AU,2.8 days,0.0
Kepler-1817 b,,5.79 Earths,15.346,2021,0.203 x Jupiter,Neptune-like,Transit,0.2348 AU,44.3 days,0.0
Kepler-1797 b,,9.58 Earths,15.421,2021,0.273 x Jupiter,Neptune-like,Transit,0.1637 AU,23.4 days,0.0
Kepler-1786 b,,10.1 Earths,14.088,2021,0.282 x Jupiter,Neptune-like,Transit,0.3659 AU,78.5 days,0.0
Kepler-1780 b,,12.7 Earths,14.907,2021,0.322 x Jupiter,Neptune-like,Transit,0.4276 AU,109.4 days,0.0
GJ 367 b,,0.633 Earths,10.153,2021,0.699 x Earth,Terrestrial,Transit,0.00709 AU,0.3 days,0.06
OGLE-2019-BLG-0304L b,,0.51 Jupiters,Unknown,2021,1.27 x Jupiter (estimate),Gas Giant,Microlensing,1.23 AU,2.6 years,
KMT-2016-BLG-2605L b,,0.771 Jupiters,Unknown,2021,1.25 x Jupiter (estimate),Gas Giant,Microlensing,0.681 AU,2.3 years,
HD 29399 b,,1.57 Jupiters,5.79,2022,,,,,,
HD 207897 b,,14.8 Earths,8.37,2021,2.343 x Earth,Super Earth,Transit,0.117 AU,16.2 days,0.0
HD 137496 c,,7.66 Jupiters,9.899,2021,1.13 x Jupiter (estimate),Gas Giant,Radial Velocity,1.2163 AU,479.9 days,0.48
HD 137496 b,,4.04 Earths,9.899,2021,1.31 x Earth,Super Earth,Transit,0.02732 AU,1.6 days,0.0
TOI-2257 b,,5.45 Earths,15.211,2021,2.194 x Earth,Neptune-like,Transit,0.145 AU,35.2 days,0.5
HIP 97166 c,,8 Earths,9.92,2021,,,,,,
HIP 97166 b,,19.1 Earths,9.92,2021,2.48 x Earth,Super Earth,Transit,0.091 AU,10.3 days,0.29
LHS 1678 c,,1.4 Earths,12.6,2021,0.941 x Earth,Super Earth,Transit,0.0327 AU,3.7 days,0.04
HD 96700 d,,12.7 Earths,6.51,2021,0.322 x Jupiter (estimate),Neptune-like,Radial Velocity,0.424 AU,103.5 days,0.27
HD 96700 c,,3.5 Earths,6.51,2021,1.69 x Earth (estimate),Super Earth,Radial Velocity,0.141 AU,19.9 days,< 0.293
HD 96700 b,,8.9 Earths,6.51,2021,0.261 x Jupiter (estimate),Neptune-like,Radial Velocity,0.0777 AU,8.1 days,< 0.138
HD 93385 d,,8.7 Earths,7.49,2021,0.258 x Jupiter (estimate),Neptune-like,Radial Velocity,0.2565 AU,45.9 days,0.09
HD 93385 c,,7.1 Earths,7.49,2021,0.229 x Jupiter (estimate),Neptune-like,Radial Velocity,0.112 AU,13.2 days,< 0.2
HD 93385 b,,4.2 Earths,7.49,2021,1.88 x Earth (estimate),Super Earth,Radial Velocity,0.0756 AU,7.3 days,< 0.295
HD 39194 d,,4 Earths,8.09,2021,,,,,,
