Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
Kepler-452 b,551.727,3.29 Earths,13.54,2015,1.63 x Earth,Super Earth,Transit,1.046 AU,384.8 days,0
Kepler-450 d,455.982,17.6 Earths,11.991,2015,0.837 x Earth,Super Earth,Transit,0.082 AU,7.5 days,0.14
Kepler-446 c,96.339,1.41 Earths,17.5041,2015,1.11 x Earth,Super Earth,Transit,0.0283 AU,3 days,0
Kepler-445 c,127.201,6.85 Earths,18.19,2015,0.22 x Jupiter,Neptune-like,Transit,0.0301 AU,4.9 days,0
Kepler-444 e,36.4396,0.1 Earths,8.87,2015,0.546 x Earth,Terrestrial,Transit,0.0696 AU,7.7 days,0.1
Kepler-432 c,848.023,2.43 Jupiters,12.398,2015,1.18 x Jupiter (estimate),Gas Giant,Radial Velocity,Unknown,406.2 days,0.5
Kepler-24 d,1156.81,3.43 Earths,15.04,2014,1.67 x Earth,Super Earth,Transit,0.051 AU,4.2 days,0
Kepler-23 c,835.756,7.81 Earths,13.567,2011,0.268 x Jupiter,Neptune-like,Transit,0.0965 AU,10.7 days,0.02
Kepler-236 c,288.763,4.66 Earths,16.014,2014,2.0 x Earth,Super Earth,Transit,0.132 AU,24 days,0
Kepler-235 c,428.018,2.18 Earths,16.567,2014,1.28 x Earth,Super Earth,Transit,0.065 AU,7.8 days,0
Kepler-233 c,856.417,7.8 Earths,15.477,2014,0.242 x Jupiter,Neptune-like,Transit,0.287 AU,60.4 days,0
Kepler-231 b,316.618,35.4 Earths,15.813,2014,1.73 x Earth,Super Earth,Transit,0.074 AU,10.1 days,0
Kepler-229 c,826.265,21.5 Earths,16.22,2014,0.439 x Jupiter,Neptune-like,Transit,0.117 AU,16.1 days,0
Kepler-228 b,1644.61,2.96 Earths,15.902,2014,1.53 x Earth,Super Earth,Transit,0.038 AU,2.6 days,0
Kepler-226 c,980.138,0.142 Jupiters,15.563,2014,2.27 x Earth,Super Earth,Transit,0.058 AU,5.3 days,0
KELT-7 b,136.681,1.39 Jupiters,8.56,2015,1.6 x Jupiter,Gas Giant,Transit,0.04415 AU,2.7 days,0
K2-34 b,348.646,1.698 Jupiters,11.447,2016,1.227 x Jupiter,Gas Giant,Transit,0.0442 AU,3 days,0
HATS-17 b,400.331,1.338 Jupiters,12.402,2016,0.777 x Jupiter,Gas Giant,Transit,0.1308 AU,16.3 days,0.03
HAT-P-56 b,320.639,2.31 Jupiters,10.92,2015,1.51 x Jupiter,Gas Giant,Transit,0.0423 AU,2.8 days,< 0.29
HAT-P-55 b,511.388,0.596 Jupiters,13.197,2015,1.324 x Jupiter,Gas Giant,Transit,0.04628 AU,3.6 days,< 0.17
XO-5 b,276.211,1.19 Jupiters,12.198,2008,1.14 x Jupiter,Gas Giant,Transit,0.0515 AU,4.2 days,0
XO-3 b,213.053,7.29 Jupiters,9.854,2007,1.41 x Jupiter,Gas Giant,Transit,0.0476 AU,3.2 days,0.29
Kepler-806 b,361.896,1.55 Earths,11.813,2016,1.14 x Earth,Super Earth,Transit,0.0764 AU,8.1 days,0
Kepler-805 b,638.49,8.7 Earths,12.586,2016,0.258 x Jupiter,Neptune-like,Transit,0.1978 AU,30.9 days,0
Kepler-804 b,649.65,4.42 Earths,13.864,2016,1.94 x Earth,Super Earth,Transit,0.1137 AU,14.4 days,0
Kepler-803 b,639.771,13.8 Earths,13.856,2016,0.338 x Jupiter,Neptune-like,Transit,0.2678 AU,50.3 days,0
Kepler-802 b,780.585,12.3 Earths,15.01,2016,0.316 x Jupiter,Neptune-like,Transit,0.2265 AU,40.1 days,0
Kepler-801 b,440.426,4.66 Earths,15.596,2016,2.0 x Earth,Super Earth,Transit,0.0795 AU,11.4 days,0
Kepler-799 b,1509.084,37.9 Earths,15.166,2016,0.614 x Jupiter,Neptune-like,Transit,0.5167 AU,133.5 days,0
Kepler-798 b,972.274,6.3 Earths,14.221,2016,0.213 x Jupiter,Neptune-like,Transit,0.1174 AU,13.7 days,0
Kepler-797 b,1315.26,5.35 Earths,14.751,2016,2.17 x Earth,Neptune-like,Transit,0.181 AU,27.1 days,0
Kepler-795 b,492.122,3.46 Earths,13.423,2016,1.68 x Earth,Super Earth,Transit,0.1817 AU,29.6 days,0
Kepler-794 b,931.192,5.1 Earths,13.599,2016,2.11 x Earth,Neptune-like,Transit,0.1036 AU,11.1 days,0
Kepler-793 b,985.699,2.45 Earths,14.742,2016,1.37 x Earth,Super Earth,Transit,0.0491 AU,4.2 days,0
Kepler-792 b,1425.47,4.5 Earths,15.117,2016,1.96 x Earth,Super Earth,Transit,0.0988 AU,11.3 days,0
Kepler-790 b,703.168,5.39 Earths,15.534,2016,2.18 x Earth,Neptune-like,Transit,0.101 AU,13.7 days,0
Kepler-789 b,1480.16,5.14 Earths,14.723,2016,2.12 x Earth,Neptune-like,Transit,0.0951 AU,8.6 days,0
Kepler-788 b,1775.8,7.04 Earths,15.45,2016,0.227 x Jupiter,Neptune-like,Transit,0.0835 AU,8.4 days,0
Kepler-787 b,503.568,2.18 Earths,16.696,2016,1.28 x Earth,Super Earth,Transit,0.0159 AU,0.9 days,0
Kepler-785 b,642.051,Unknown,16.315,2016,1.162 x Jupiter,Gas Giant,Transit,0.025 AU,2 days,0
Kepler-784 b,1303.72,3.12 Earths,13.392,2016,1.58 x Earth,Super Earth,Transit,0.1967 AU,31.6 days,0
Kepler-450 c,455.982,12.5 Earths,11.991,2015,2.62 x Earth,Super Earth,Transit,0.1324 AU,15.4 days,0.02
Kepler-450 b,455.982,19.4 Earths,11.991,2015,0.548 x Jupiter,Neptune-like,Transit,0.1993 AU,28.5 days,0.02
Kepler-449 c,241.949,8.07 Earths,11.448,2015,0.247 x Jupiter,Neptune-like,Transit,0.1979 AU,33.7 days,0.05
Kepler-449 b,241.949,4.88 Earths,11.448,2015,2.056 x Earth,Super Earth,Transit,0.1027 AU,12.6 days,0.03
Kepler-272 b,889.608,0.245 Jupiters,14.811,2014,1.43 x Earth,Super Earth,Transit,0.038 AU,3 days,0
Kepler-271 c,404.542,0.809 Earths,13.578,2014,0.95 x Earth,Terrestrial,Transit,0.0702 AU,7.4 days,0
Kepler-271 b,404.542,2.04 Earths,13.578,2014,1.23 x Earth,Super Earth,Transit,0.0881 AU,10.4 days,0
Kepler-270 c,948.781,3.78 Earths,13.9,2014,1.77 x Earth,Super Earth,Transit,0.18 AU,25.3 days,0
Kepler-270 b,948.781,4.7 Earths,13.9,2014,2.01 x Earth,Super Earth,Transit,0.107 AU,11.5 days,0
Kepler-269 b,2257.32,6.66 Earths,15.646,2014,0.22 x Jupiter,Neptune-like,Transit,0.061 AU,5.3 days,0
Kepler-268 c,851.87,11.4 Earths,13.844,2014,0.302 x Jupiter,Neptune-like,Transit,0.391 AU,83.4 days,0
Kepler-268 b,851.87,7.04 Earths,13.844,2014,0.227 x Jupiter,Neptune-like,Transit,0.18 AU,25.9 days,0
Kepler-267 d,264.993,5.77 Earths,16.69,2014,0.203 x Jupiter,Neptune-like,Transit,0.154 AU,28.5 days,0
Kepler-267 b,264.993,37.9 Earths,16.69,2014,1.98 x Earth,Super Earth,Transit,0.037 AU,3.4 days,0
Kepler-266 c,1370.79,14.4 Earths,15.787,2014,0.347 x Jupiter,Neptune-like,Transit,0.457 AU,107.7 days,0
Kepler-266 b,1370.79,6.71 Earths,15.787,2014,0.221 x Jupiter,Neptune-like,Transit,0.071 AU,6.6 days,0
Kepler-265 d,1280.25,6.76 Earths,15.47,2014,0.222 x Jupiter,Neptune-like,Transit,0.236 AU,43.1 days,0
Kepler-265 c,1280.25,7.41 Earths,15.47,2014,0.235 x Jupiter,Neptune-like,Transit,0.127 AU,17 days,0
Kepler-265 b,1280.25,4.12 Earths,15.47,2014,1.86 x Earth,Super Earth,Transit,0.069 AU,6.8 days,0
