Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
HD 73344 b,,10.48 Earths,6.89351,2024,0.257 x Jupiter,Neptune-like,Transit,0.131 AU,15.6 days,0.03
TOI-2015 b,,16.4 Earths,16.11,2023,0.302 x Jupiter,Neptune-like,Transit,0.0301 AU,3.3 days,0.0
TOI-6086 b,,1.76 Earths,14.981,2024,1.18 x Earth,Super Earth,Transit,0.01541 AU,1.4 days,
TOI-6008 b,,4 Earths,15.97,2024,1.03 x Earth,Super Earth,Transit,0.010777 AU,0.9 days,
TOI-5720 b,,4.3 Earths,13.847,2024,1.09 x Earth,Super Earth,Transit,0.018288 AU,1.4 days,
GJ 900 b,,11 Jupiters,9.59,2024,1.11 x Jupiter (estimate),Gas Giant,Imaging,12000 AU,1265634.4 years,
UCAC4 328-061594 b,,21 Jupiters,15.689,2024,1.08 x Jupiter (estimate),Gas Giant,Imaging,19000 AU,2402178.1 years,
UCAC3 113-933 b,,21 Jupiters,12.501,2024,1.08 x Jupiter (estimate),Gas Giant,Imaging,6100 AU,610348.8 years,
Gliese 12 b,,3.87 Earths,12.6,2024,0.958 x Earth,Super Earth,Transit,0.0668 AU,12.8 days,< 0.5
SPECULOOS-3 b,,0.894 Earths,17.8,2024,0.977 x Earth,Terrestrial,Transit,0.00733 AU,0.7 days,
TOI-4633 c,,0.387 Jupiters,9.017,2024,0.285 x Jupiter,Gas Giant,Transit,0.847 AU,271.9 days,0.12
2MASS J0249-0557 c,,11.6 Jupiters,18.3,2018,1.11 x Jupiter (estimate),Gas Giant,Imaging,1950 AU,385314.4 years,
TOI-815 c,,23.5 Earths,10.217,2024,,,,,,
TOI-815 b,,7.6 Earths,10.217,2024,0.262 x Jupiter,Neptune-like,Transit,0.0903 AU,11.2 days,< 0.2
TOI-4559 b,,2.59 Earths,13.115,2024,1.415 x Earth,Super Earth,Transit,0.0359 AU,4 days,
TOI-1739 b,,3.52 Earths,10.692,2024,1.695 x Earth,Super Earth,Transit,0.0742 AU,8.3 days,
Kepler-1660 AB b,,4.992 Jupiters,13.595,2023,1.15 x Jupiter (estimate),Gas Giant,Eclipse Timing Variations,0.8 AU,239.5 days,0.06
ITG 15 b,,21 Jupiters,Unknown,2024,1.08 x Jupiter (estimate),Gas Giant,Imaging,435 AU,365 days,
TIC 139270665 c,,4.89 Jupiters,10.385,2024,1.15 x Jupiter (estimate),Gas Giant,Radial Velocity,2 AU,2.8 years,0.57
TIC 139270665 b,,0.463 Jupiters,10.385,2024,0.645 x Jupiter,Gas Giant,Transit,0.163 AU,23.6 days,0.1
HIP 77900 b,,21 Jupiters,6.15,2024,1.08 x Jupiter (estimate),Gas Giant,Imaging,3319 AU,365 days,
2MASS J11011926-7732383 b,,28 Jupiters,Unknown,2024,1.06 x Jupiter (estimate),Gas Giant,Imaging,266 AU,365 days,
G 196-3 b,,26 Jupiters,11.672,2024,1.07 x Jupiter (estimate),Gas Giant,Imaging,350 AU,9085.5 years,
2MASS J03590986+2009361 b,,18 Jupiters,Unknown,2024,1.08 x Jupiter (estimate),Gas Giant,Imaging,572 AU,26844.5 years,
