Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
K2-204 b,,9.51 Earths,12.985,2018,0.272 x Jupiter,Neptune-like,Transit,Unknown,7.1 days,
K2-203 b,,2.45 Earths,12.391,2018,1.371 x Earth,Super Earth,Transit,Unknown,9.7 days,
K2-202 b,,5.91 Earths,13.354,2018,0.205 x Jupiter,Neptune-like,Transit,Unknown,3.4 days,
K2-201 c,,10.8 Earths,12.168,2018,0.293 x Jupiter,Neptune-like,Transit,Unknown,22.8 days,
K2-201 b,,2.54 Earths,12.168,2018,1.4 x Earth,Super Earth,Transit,Unknown,1.1 days,
K2-200 b,,2.43 Earths,12.428,2018,1.364 x Earth,Super Earth,Transit,Unknown,2.8 days,
K2-199 c,,12.4 Earths,12.358,2018,0.254 x Jupiter,Neptune-like,Transit,0.0662 AU,7.4 days,0.03
K2-199 b,,6.9 Earths,12.358,2018,1.73 x Earth,Super Earth,Transit,0.0382 AU,3.2 days,0.02
K2-198 b,,16.3 Earths,10.971,2018,0.374 x Jupiter,Neptune-like,Transit,Unknown,17 days,
K2-197 b,,7.08 Earths,12.199,2018,0.228 x Jupiter,Neptune-like,Transit,0.0806 AU,8.4 days,
K2-196 b,,12.6 Earths,12.241,2018,0.321 x Jupiter,Neptune-like,Transit,Unknown,48.3 days,
K2-195 c,,7.16 Earths,12.524,2018,0.23 x Jupiter,Neptune-like,Transit,Unknown,28.5 days,
K2-195 b,,9.96 Earths,12.524,2018,0.279 x Jupiter,Neptune-like,Transit,0.1208 AU,15.9 days,
K2-194 b,,12.9 Earths,12.998,2018,0.325 x Jupiter,Neptune-like,Transit,Unknown,39.7 days,
K2-193 b,,14.8 Earths,13.341,2018,0.352 x Jupiter,Neptune-like,Transit,0.1184 AU,14.8 days,
K2-192 b,,2.92 Earths,12.656,2018,1.52 x Earth,Super Earth,Transit,0.049 AU,4.2 days,
K2-191 b,,3.12 Earths,13.329,2018,1.579 x Earth,Super Earth,Transit,Unknown,2.9 days,
K2-190 c,,1.34 Earths,11.138,2018,1.093 x Earth,Super Earth,Transit,Unknown,21.6 days,
K2-190 b,,2.41 Earths,11.138,2018,1.357 x Earth,Super Earth,Transit,Unknown,10.1 days,
K2-189 c,,6.8 Earths,12.398,2018,0.223 x Jupiter,Neptune-like,Transit,0.068 AU,6.7 days,
K2-189 b,,2.92 Earths,12.398,2018,1.52 x Earth,Super Earth,Transit,0.0361 AU,2.6 days,
K2-188 c,,8.4 Earths,12.657,2018,0.252 x Jupiter,Neptune-like,Transit,0.0785 AU,7.8 days,
K2-188 b,,2.39 Earths,12.657,2018,1.35 x Earth,Super Earth,Transit,0.0289 AU,1.7 days,
K2-187 e,,4.27 Earths,13.102,2018,1.9 x Earth,Super Earth,Transit,0.1106 AU,13.6 days,
K2-187 d,,6.35 Earths,13.102,2018,0.214 x Jupiter,Neptune-like,Transit,0.072 AU,7.1 days,
K2-187 c,,2.54 Earths,13.102,2018,1.4 x Earth,Super Earth,Transit,0.0392 AU,2.9 days,
K2-187 b,,1.87 Earths,13.102,2018,1.2 x Earth,Super Earth,Transit,0.0164 AU,0.8 days,
K2-186 b,,10.2 Earths,12.413,2018,0.283 x Jupiter,Neptune-like,Transit,Unknown,41.5 days,
