Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
Kepler-348 b,570.783,2.92 Earths,12.676,2014,1.52 x Earth,Super Earth,Transit,0.076 AU,7.1 days,0.0
Kepler-276 d,1144.86,16.3 Earths,15.481,2013,2.8 x Earth,Super Earth,Transit,0.2642 AU,48.6 days,0.0
Kepler-26 d,335.307,1.24 Earths,15.853,2014,1.07 x Earth,Super Earth,Transit,0.039 AU,3.5 days,0.0
Kepler-269 c,2257.32,3.5 Earths,15.646,2014,1.69 x Earth,Super Earth,Transit,0.081 AU,8.1 days,0.0
Kepler-267 c,264.993,5.18 Earths,16.69,2014,2.13 x Earth,Neptune-like,Transit,0.06 AU,6.9 days,0.0
Kepler-265 e,1280.25,7.22 Earths,15.47,2014,0.231 x Jupiter,Neptune-like,Transit,0.319 AU,67.8 days,0.0
Kepler-264 c,942.173,8.4 Earths,13.15,2014,0.252 x Jupiter,Neptune-like,Transit,0.566 AU,140.1 days,0.0
Kepler-262 b,613.129,2.42 Earths,14.478,2014,1.36 x Earth,Super Earth,Transit,0.108 AU,13.1 days,0.0
Kepler-260 b,627.365,4.7 Earths,14.253,2014,2.01 x Earth,Super Earth,Transit,0.075 AU,8.2 days,0.0
Kepler-25 d,243.249,0.226 Jupiters,10.769,2014,0.894 x Jupiter (estimate),Gas Giant,Radial Velocity,0.416422 AU,122.4 days,0.13
Kepler-258 b,575.988,15.5 Earths,15.49,2014,0.362 x Jupiter,Neptune-like,Transit,0.103 AU,13.2 days,0.0
Kepler-256 e,1026.43,6.12 Earths,15.178,2014,,,,,,
Kepler-255 b,1052.53,3.02 Earths,15.699,2014,1.55 x Earth,Super Earth,Transit,0.063 AU,5.7 days,0.0
Kepler-253 d,838.595,10.2 Earths,15.778,2014,0.283 x Jupiter,Neptune-like,Transit,0.13 AU,18.1 days,0.0
Kepler-252 b,379.424,2.04 Earths,15.406,2014,1.23 x Earth,Super Earth,Transit,0.058 AU,6.7 days,0.0
Kepler-250 d,760.585,5.39 Earths,15.819,2014,2.18 x Earth,Neptune-like,Transit,0.127 AU,17.6 days,0.0
Kepler-249 c,190.401,2.89 Earths,16.37,2014,1.51 x Earth,Super Earth,Transit,0.058 AU,7.1 days,0.0
Kepler-247 d,663.711,14.7 Earths,15.199,2014,0.352 x Jupiter,Neptune-like,Transit,0.14 AU,20.5 days,0.0
Kepler-246 b,626.078,6.08 Earths,15.197,2014,0.209 x Jupiter,Neptune-like,Transit,0.052 AU,4.6 days,0.0
Kepler-244 c,1036.49,4.86 Earths,15.747,2014,2.05 x Earth,Super Earth,Transit,0.087 AU,9.8 days,0.0
Kepler-242 c,600.241,4.66 Earths,15.489,2014,2.0 x Earth,Super Earth,Transit,0.109 AU,14.5 days,0.0
Kepler-212 c,687.194,7.95 Earths,13.129,2014,0.244 x Jupiter,Neptune-like,Transit,0.207 AU,31.8 days,0.0
Kepler-210 c,232.75,12.8 Earths,14.126,2014,0.323 x Jupiter,Neptune-like,Transit,0.07 AU,8 days,0.0
Kepler-208 d,775.328,1.87 Earths,13.561,2014,1.2 x Earth,Super Earth,Transit,0.103 AU,11.1 days,0.0
Kepler-207 c,875.519,2.86 Earths,13.164,2014,1.5 x Earth,Super Earth,Transit,0.044 AU,3.1 days,0.0
Kepler-206 b,594.447,1.87 Earths,13.507,2014,1.2 x Earth,Super Earth,Transit,0.078 AU,7.8 days,0.0
