Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
Kepler-1229 b,265.482,2.54 Earths,16.124,2016,1.4 x Earth,Super Earth,Transit,0.3006 AU,86.8 days,0.0
Kepler-1224 b,559.598,2.33 Earths,12.926,2016,1.33 x Earth,Super Earth,Transit,0.1165 AU,13.3 days,0.0
Kepler-1312 b,299.104,5.06 Earths,12.491,2016,2.1 x Earth,Neptune-like,Transit,0.0603 AU,5.4 days,0.0
Kepler-1309 b,845,6.21 Earths,16.5119,2016,0.211 x Jupiter,Neptune-like,Transit,0.1679 AU,28.8 days,0.0
Kepler-1185 b,459.273,2.33 Earths,12.63,2016,1.33 x Earth,Super Earth,Transit,0.4297 AU,104.4 days,0.0
Kepler-1180 b,1596.8,4.62 Earths,15.081,2016,1.99 x Earth,Super Earth,Transit,0.1246 AU,16.9 days,0.0
Kepler-1176 b,864.699,6.57 Earths,15.27,2016,0.219 x Jupiter,Neptune-like,Transit,0.1589 AU,24.2 days,0.0
Kepler-1171 b,573,7.08 Earths,11.647,2016,0.228 x Jupiter,Neptune-like,Transit,0.0284 AU,1.4 days,0.0
Kepler-1166 b,634.906,3.5 Earths,14.65,2016,1.69 x Earth,Super Earth,Transit,0.1975 AU,33.2 days,0.0
Kepler-1162 b,940.211,5.52 Earths,15.749,2016,2.21 x Earth,Neptune-like,Transit,0.19 AU,32.6 days,0.0
Kepler-953 b,258.893,16.5 Earths,11.871,2016,0.376 x Jupiter,Neptune-like,Transit,0.392 AU,88.4 days,0.0
Kepler-949 b,486.105,8.8 Earths,14.718,2016,0.26 x Jupiter,Neptune-like,Transit,0.0774 AU,8.7 days,0.0
Kepler-944 b,1349.43,7.41 Earths,15.636,2016,,,,,,
Kepler-938 b,1182.05,5.56 Earths,15.148,2016,2.22 x Earth,Neptune-like,Transit,0.2689 AU,52.6 days,0.0
Kepler-935 b,471.782,2.39 Earths,15.01,2016,1.35 x Earth,Super Earth,Transit,0.0527 AU,4.9 days,0.0
Kepler-930 b,848.396,5.18 Earths,13.89,2016,2.13 x Earth,Neptune-like,Transit,0.3475 AU,71.5 days,0.0
Kepler-925 b,611.115,6.08 Earths,16.025,2016,0.209 x Jupiter,Neptune-like,Transit,0.1805 AU,33.9 days,0.0
