Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
HD 3167 e,,8.41 Earths,8.97,2022,0.253 x Jupiter (estimate),Neptune-like,Radial Velocity,0.3885 AU,96.6 days,< 0.15
TOI-5542 b,,1.32 Jupiters,12.42,2022,1.009 x Jupiter,Gas Giant,Transit,0.332 AU,75.1 days,0.02
KOI-7913 b,,6.08 Earths,14.23,2022,0.209 x Jupiter,Neptune-like,Transit,0.1456 AU,24.3 days,0.0
KOI-7368 b,,5.56 Earths,12.969,2022,2.22 x Earth,Neptune-like,Transit,0.0678 AU,6.8 days,0.0
KIC 3526061 b,,18.15 Jupiters,10.372,2022,1.08 x Jupiter (estimate),Gas Giant,Radial Velocity,5.14 AU,9.7 years,0.85
HD 184010 d,,0.45 Jupiters,5.88639,2022,1.28 x Jupiter (estimate),Gas Giant,Radial Velocity,1.92 AU,2.3 years,0.0
HD 184010 c,,0.3 Jupiters,5.88639,2022,1.06 x Jupiter (estimate),Gas Giant,Radial Velocity,1.334 AU,484.3 days,0.0
HD 184010 b,,0.31 Jupiters,5.88639,2022,1.08 x Jupiter (estimate),Gas Giant,Radial Velocity,0.94 AU,286.6 days,0.0
TOI-5398 b,,0.18469 Jupiters,10.059,2022,0.919 x Jupiter,Gas Giant,Transit,0.098 AU,10.6 days,< 0.13
TOI-5238 b,,23.7 Earths,12.214,2022,0.466 x Jupiter,Neptune-like,Transit,Unknown,4.9 days,
TOI-5174 b,,24.8 Earths,11.583,2022,0.477 x Jupiter,Neptune-like,Transit,Unknown,12.2 days,
TOI-2545 b,,8 Earths,9.521,2022,0.245 x Jupiter,Neptune-like,Transit,Unknown,8 days,
HD 23472 f,,0.77 Earths,9.73,2022,1.137 x Earth,Super Earth,Transit,0.0906 AU,12.2 days,0.07
HD 23472 e,,0.72 Earths,9.73,2022,0.818 x Earth,Terrestrial,Transit,0.068 AU,7.9 days,0.07
HD 23472 d,,0.55 Earths,9.73,2022,0.75 x Earth,Terrestrial,Transit,0.04298 AU,4 days,0.07
OGLE-2019-BLG-1470L AB c,,2.2 Jupiters,Unknown,2022,1.19 x Jupiter (estimate),Gas Giant,Microlensing,3.2 AU,7.6 years,
HIP 19976 b,,21.61233 Earths,10.48,2022,0.441 x Jupiter (estimate),Neptune-like,Radial Velocity,0.234 AU,50.7 days,0.3
