Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
HD 192263 b,,0.56 Jupiters,7.79,1999,1.26 x Jupiter (estimate),Gas Giant,Radial Velocity,0.15 AU,24.4 days,0.05
HD 190984 b,,3.58 Jupiters,8.76,2009,1.16 x Jupiter (estimate),Gas Giant,Radial Velocity,5.5 AU,13.4 years,0.57
HD 190647 b,,1.985 Jupiters,7.78,2007,1.19 x Jupiter (estimate),Gas Giant,Radial Velocity,2.231 AU,3.2 years,0.22
HD 190360 c,,19.069 Earths,5.745,2005,0.409 x Jupiter (estimate),Neptune-like,Radial Velocity,0.1304 AU,17.1 days,0.24
HD 190360 b,,1.8 Jupiters,5.745,2003,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,3.9 AU,7.8 years,0.34
HD 189733 b,,1.13 Jupiters,7.67,2005,1.13 x Jupiter,Gas Giant,Radial Velocity,0.03126 AU,2.2 days,0.0
HD 188015 b,,1.5 Jupiters,8.24,2004,1.21 x Jupiter (estimate),Gas Giant,Radial Velocity,1.203 AU,461.2 days,0.14
HD 187123 c,,1.99 Jupiters,7.83,2008,1.19 x Jupiter (estimate),Gas Giant,Radial Velocity,4.89 AU,10.4 years,0.25
HD 187123 b,,0.523 Jupiters,7.83,1998,1.27 x Jupiter (estimate),Gas Giant,Radial Velocity,0.0426 AU,3.1 days,0.01
HD 187085 b,,0.836 Jupiters,7.22,2006,1.24 x Jupiter (estimate),Gas Giant,Radial Velocity,2.1 AU,2.8 years,0.25
HD 185269 b,,1.01 Jupiters,6.67973,2006,1.23 x Jupiter (estimate),Gas Giant,Radial Velocity,0.077 AU,6.8 days,0.23
HD 183263 c,,9.31 Jupiters,7.86,2008,1.12 x Jupiter (estimate),Gas Giant,Radial Velocity,5.585 AU,12.8 years,0.05
HD 183263 b,,3.471 Jupiters,7.86,2004,1.17 x Jupiter (estimate),Gas Giant,Radial Velocity,1.46 AU,1.7 years,0.38
HD 181720 b,,0.4 Jupiters,7.84,2009,1.25 x Jupiter (estimate),Gas Giant,Radial Velocity,1.85 AU,2.6 years,0.26
HD 181433 d,,0.54 Jupiters,8.4,2008,1.27 x Jupiter (estimate),Gas Giant,Radial Velocity,3 AU,6 years,0.48
HD 181433 c,,0.64 Jupiters,8.4,2008,1.26 x Jupiter (estimate),Gas Giant,Radial Velocity,1.76 AU,2.6 years,0.28
HD 181433 b,,6.3566 Earths,8.4,2008,0.214 x Jupiter (estimate),Neptune-like,Radial Velocity,0.08 AU,9.4 days,0.4
HD 181342 b,,2.54 Jupiters,7.55,2009,1.18 x Jupiter (estimate),Gas Giant,Radial Velocity,1.592 AU,1.5 years,0.02
HD 180902 b,,1.685 Jupiters,7.78,2009,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,1.4 AU,1.4 years,0.11
GJ 1148 b,,0.30425 Jupiters,11.939,2010,1.07 x Jupiter (estimate),Gas Giant,Radial Velocity,0.166 AU,41.4 days,0.38
HD 9446 c,,1.82 Jupiters,8.35,2009,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,0.654 AU,192.9 days,0.06
HD 9446 b,,0.7 Jupiters,8.35,2009,1.25 x Jupiter (estimate),Gas Giant,Radial Velocity,0.189 AU,30.1 days,0.2
HD 8673 b,,13.248 Jupiters,6.331,2009,1.1 x Jupiter (estimate),Gas Giant,Radial Velocity,2.97 AU,4.5 years,0.73
HD 8574 b,,2.03 Jupiters,7.12,2002,1.19 x Jupiter (estimate),Gas Giant,Radial Velocity,0.76 AU,227 days,0.3
HD 8535 b,,0.68 Jupiters,7.7,2010,1.25 x Jupiter (estimate),Gas Giant,Radial Velocity,2.45 AU,3.6 years,0.15
HD 7924 d,,6.44 Earths,7.17896,2015,0.216 x Jupiter (estimate),Neptune-like,Radial Velocity,0.1551 AU,24.5 days,0.21
HD 7924 c,,7.86 Earths,7.17896,2015,0.243 x Jupiter (estimate),Neptune-like,Radial Velocity,0.1134 AU,15.3 days,0.1
HD 7924 b,,6.3566 Earths,7.17896,2008,0.214 x Jupiter (estimate),Neptune-like,Radial Velocity,0.06 AU,5.4 days,0.06
HD 7449 b,,8.174 Jupiters,7.5,2011,1.12 x Jupiter (estimate),Gas Giant,Radial Velocity,2.438 AU,3.5 years,0.75
HD 7199 b,,0.27 Jupiters,8.06,2011,0.993 x Jupiter (estimate),Gas Giant,Radial Velocity,1.36 AU,1.7 years,0.19
