Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
HAT-P-60 b,,0.574 Jupiters,9.727,2021,1.631 x Jupiter,Gas Giant,Transit,0.06277 AU,4.8 days,< 0.25
HAT-P-59 b,,1.54 Jupiters,11.64,2021,,,,,,
HAT-P-58 b,,0.372 Jupiters,12.925,2021,1.332 x Jupiter,Gas Giant,Transit,0.04994 AU,4 days,< 0.073
TOI-2076 d,,29 Earths,9.139,2021,0.306 x Jupiter,Neptune-like,Transit,0.199 AU,35.1 days,0.0
TOI-2076 c,,0.17305 Jupiters,9.139,2021,0.33 x Jupiter,Gas Giant,Transit,0.142 AU,21 days,0.0
TOI-2076 b,,16.1 Earths,9.139,2021,2.771 x Earth,Super Earth,Transit,0.088 AU,10.4 days,0.0
TOI-1807 b,,2.44 Earths,10,2021,1.497 x Earth,Super Earth,Transit,0.0122 AU,0.5 days,0.0
TOI-1259 A b,,0.441 Jupiters,12.079,2021,1.022 x Jupiter,Gas Giant,Transit,0.0407 AU,3.5 days,0.0
TOI-674 b,,23.6 Earths,14.203,2021,0.468 x Jupiter,Neptune-like,Transit,0.025 AU,2 days,0.0
TOI-1685 b,,3.03 Earths,13.378,2021,1.468 x Earth,Super Earth,Transit,0.01138 AU,0.7 days,0.0
TOI-1634 b,,7.57 Earths,13.217,2021,1.773 x Earth,Super Earth,Transit,0.01545 AU,1 days,0.0
TOI-1260 c,,13.2 Earths,11.922,2021,2.76 x Earth,Super Earth,Transit,0.0657 AU,7.5 days,0.0
TOI-1260 b,,8.56 Earths,11.922,2021,2.41 x Earth,Super Earth,Transit,0.0367 AU,3.1 days,0.0
GJ 720 A b,,13.64 Earths,9.84,2021,0.336 x Jupiter (estimate),Neptune-like,Radial Velocity,0.119 AU,19.5 days,0.12
GJ 393 b,,1.71 Earths,9.65,2021,1.17 x Earth (estimate),Super Earth,Radial Velocity,0.05402 AU,7 days,
G 264-012 c,,3.75 Earths,13.078,2021,1.76 x Earth (estimate),Super Earth,Radial Velocity,0.0525 AU,8.1 days,
G 264-012 b,,2.5 Earths,13.078,2021,1.39 x Earth (estimate),Super Earth,Radial Velocity,0.02279 AU,2.3 days,
Kepler-129 d,,8.3 Jupiters,11.809,2021,1.12 x Jupiter (estimate),Gas Giant,Radial Velocity,4 AU,7.2 years,0.15
GJ 849 c,,0.99 Jupiters,10.41,2014,1.23 x Jupiter (estimate),Gas Giant,Radial Velocity,4.95 AU,16.4 years,0.09
WASP-110 b,,0.51 Jupiters,12.762,2021,1.238 x Jupiter,Gas Giant,Transit,Unknown,3.8 days,0.0
KOI-3503 c,,10.36 Earths,13.831,2021,1.21 x Earth,Super Earth,Transit,0.1911 AU,31.8 days,0.0
KOI-3503 b,,9.2 Earths,13.831,2021,1.19 x Earth,Super Earth,Transit,0.1462 AU,21.2 days,0.0
KOI-1833 d,,11.02 Earths,14.626,2021,,,,,,
KOI-1831 d,,2.23 Earths,14.222,2021,1.13 x Earth,Super Earth,Transit,0.1949 AU,34.2 days,0.0
HD 95735 c,,13.6 Earths,7.421,2021,0.335 x Jupiter (estimate),Neptune-like,Radial Velocity,2.94 AU,8.1 years,0.13
HD 68988 c,,15 Jupiters,8.2,2021,1.09 x Jupiter (estimate),Gas Giant,Radial Velocity,13.2 AU,43.8 years,0.45
HD 66428 c,,1.764 Jupiters,8.25,2021,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,9.408 AU,28.7 years,0.21
HD 3765 b,,0.173 Jupiters,7.36,2021,0.764 x Jupiter (estimate),Gas Giant,Radial Velocity,2.108 AU,3.3 years,0.3
