Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
HD 154857 b,63.4482,2.45 Jupiters,7.24,2004,1.18 x Jupiter (estimate),Gas Giant,Radial Velocity,1.29 AU,408.6 days,0.46
HD 154672 b,63.0484,5.37 Jupiters,8.21,2008,1.14 x Jupiter (estimate),Gas Giant,Radial Velocity,0.6 AU,163.9 days,0.61
HD 154345 b,18.284,1.19 Jupiters,6.76,2006,1.22 x Jupiter (estimate),Gas Giant,Radial Velocity,4.21 AU,9.2 years,0.04
HD 153950 b,48.4549,2.95 Jupiters,7.39,2008,1.17 x Jupiter (estimate),Gas Giant,Radial Velocity,1.28 AU,499.4 days,0.34
HD 152581 b,165.76,1.869 Jupiters,8.38,2011,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,1.66 AU,1.9 years,0.04
HD 152079 b,87.8888,2.661 Jupiters,9.18,2009,1.18 x Jupiter (estimate),Gas Giant,Radial Velocity,4.187 AU,8 years,0.53
HD 150706 b,28.2697,2.43 Jupiters,7.03,2012,1.18 x Jupiter (estimate),Gas Giant,Radial Velocity,6.7 AU,16.1 years,0.38
HD 149143 b,73.2801,1.33 Jupiters,7.89,2005,1.22 x Jupiter (estimate),Gas Giant,Radial Velocity,0.053 AU,4.1 days,0.02
HD 149026 b,75.8643,0.38 Jupiters,8.15,2005,0.74 x Jupiter,Gas Giant,Radial Velocity,0.04364 AU,2.9 days,0
HD 148427 b,71.3499,1.3 Jupiters,6.90498,2009,1.22 x Jupiter (estimate),Gas Giant,Radial Velocity,1.04 AU,331.5 days,0.16
HD 148156 b,57.1289,0.85 Jupiters,7.69,2009,1.24 x Jupiter (estimate),Gas Giant,Radial Velocity,2.45 AU,2.8 years,0.52
HD 147513 b,12.8923,1.21 Jupiters,5.37,2003,1.22 x Jupiter (estimate),Gas Giant,Radial Velocity,1.32 AU,1.4 years,0.26
HD 147018 c,40.4256,6.56 Jupiters,8.3,2009,,,,,,
KELT-2 A b,134.058,1.7 Jupiters,8.68,2012,1.35 x Jupiter,Gas Giant,Transit,0.05497 AU,4.1 days,0
HR 8799 e,41.2441,10 Jupiters,5.98,2010,,,,,,
HD 147018 b,40.4256,2.12 Jupiters,8.3,2009,1.19 x Jupiter (estimate),Gas Giant,Radial Velocity,0.2388 AU,44.2 days,0.47
HD 145934 b,227.881,2.072 Jupiters,8.495,2015,1.19 x Jupiter (estimate),Gas Giant,Radial Velocity,4.89 AU,7.5 years,0.08
HD 145457 b,135.292,2.794 Jupiters,6.57226,2010,1.18 x Jupiter (estimate),Gas Giant,Radial Velocity,0.762 AU,176.1 days,0.11
HD 145377 b,53.4884,6.02 Jupiters,9.236,2008,1.14 x Jupiter (estimate),Gas Giant,Radial Velocity,0.45 AU,104 days,0.31
HD 143361 b,68.5146,4.35 Jupiters,9.2,2008,1.15 x Jupiter (estimate),Gas Giant,Radial Velocity,1.988 AU,2.8 years,0.2
HD 142415 b,35.5318,1.67 Jupiters,7.33,2003,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,1.06 AU,386.3 days,0.5
HD 142245 b,97.2305,3.07 Jupiters,7.46,2011,1.17 x Jupiter (estimate),Gas Giant,Radial Velocity,2.78 AU,3.6 years,0
