Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
HD 45652 b,34.8541,0.433 Jupiters,8.1,2008,1.28 x Jupiter (estimate),Gas Giant,Radial Velocity,0.237 AU,44.1 days,0.61
HD 45364 c,34.354,0.549 Jupiters,8.08,2008,1.26 x Jupiter (estimate),Gas Giant,Radial Velocity,0.902 AU,345.4 days,0.02
HD 45364 b,34.354,0.1893 Jupiters,8.08,2008,0.805 x Jupiter (estimate),Gas Giant,Radial Velocity,0.6793 AU,225.8 days,0.07
HD 45350 b,46.8733,1.79 Jupiters,7.89,2004,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,1.92 AU,2.6 years,0.78
HD 44219 b,52.9051,0.58 Jupiters,7.69,2010,1.26 x Jupiter (estimate),Gas Giant,Radial Velocity,1.26 AU,472 days,0.41
HD 43691 b,85.6009,2.55 Jupiters,8.03,2007,1.18 x Jupiter (estimate),Gas Giant,Radial Velocity,0.238 AU,37 days,0.08
HD 43197 b,62.4112,0.553 Jupiters,8.98,2010,1.26 x Jupiter (estimate),Gas Giant,Radial Velocity,0.882 AU,308.9 days,0.74
HD 41004 B b,41.5504,18.37 Jupiters,8.6078,2003,1.08 x Jupiter (estimate),Gas Giant,Radial Velocity,Unknown,1.3 days,0.08
HD 41004 A b,36.69117,2.54 Jupiters,8.65,2004,1.18 x Jupiter (estimate),Gas Giant,Radial Velocity,Unknown,2.6 years,0.74
HD 40979 b,34.0883,4.67 Jupiters,6.75512,2002,1.15 x Jupiter (estimate),Gas Giant,Radial Velocity,0.85 AU,264.1 days,0.25
HD 40307 g,12.9363,7.1 Earths,7.17,2013,0.229 x Jupiter (estimate),Neptune-like,Radial Velocity,0.6 AU,197.8 days,0.29
HD 40307 f,12.9363,5.2 Earths,7.17,2013,2.13 x Earth (estimate),Neptune-like,Radial Velocity,0.247 AU,51.8 days,0.02
HD 40307 d,12.9363,9.5 Earths,7.17,2009,0.272 x Jupiter (estimate),Neptune-like,Radial Velocity,0.1321 AU,20.4 days,0.07
HD 40307 c,12.9363,6.6 Earths,7.17,2009,0.219 x Jupiter (estimate),Neptune-like,Radial Velocity,0.0799 AU,9.6 days,0.06
HD 40307 b,12.9363,4 Earths,7.17,2009,1.83 x Earth (estimate),Super Earth,Radial Velocity,0.0468 AU,4.3 days,0.2
HD 39091 b,18.2874,12.325 Jupiters,5.666,2001,1.1 x Jupiter (estimate),Gas Giant,Radial Velocity,3.311 AU,5.7 years,0.64
HD 38801 b,91.4349,9.698 Jupiters,8.26,2009,1.11 x Jupiter (estimate),Gas Giant,Radial Velocity,1.623 AU,1.9 years,0.02
HD 38529 c,42.3538,10.38 Jupiters,5.92848,2000,1.11 x Jupiter (estimate),Gas Giant,Radial Velocity,3.226 AU,5.8 years,0.36
HD 38529 b,42.3538,0.65 Jupiters,5.92848,2000,1.25 x Jupiter (estimate),Gas Giant,Radial Velocity,0.115 AU,14.3 days,0.26
HD 38283 b,38.0615,0.4 Jupiters,6.69,2010,1.25 x Jupiter (estimate),Gas Giant,Radial Velocity,1.02 AU,363.2 days,0.41
HD 37605 c,46.7864,3.19 Jupiters,8.67,2012,1.17 x Jupiter (estimate),Gas Giant,Radial Velocity,3.74 AU,7.5 years,0.03
HD 37605 b,46.7864,2.69 Jupiters,8.67,2004,1.18 x Jupiter (estimate),Gas Giant,Radial Velocity,0.277 AU,55 days,0.67
HD 37124 d,31.6634,0.696 Jupiters,7.68,2005,1.25 x Jupiter (estimate),Gas Giant,Radial Velocity,2.807 AU,5.1 years,0.16
HD 37124 c,31.6634,0.652 Jupiters,7.68,2002,1.25 x Jupiter (estimate),Gas Giant,Radial Velocity,1.71 AU,2.4 years,0.12
