Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
HD 11755 b,,5.63 Jupiters,6.88269,2015,1.14 x Jupiter (estimate),Gas Giant,Radial Velocity,1.09 AU,433.7 days,0.19
8 Ursae Minoris b,,1.31 Jupiters,6.83295,2015,,,,,,
LkCa 15 c,,Unknown,12.025,2015,Unknown,Unknown,Imaging,18.6 AU,365 days,
LkCa 15 b,,Unknown,12.025,2015,Unknown,Unknown,Imaging,14.7 AU,365 days,
HD 33844 c,,1.75 Jupiters,7.29,2015,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,2.24 AU,2.5 years,0.13
HD 33844 b,,2.01 Jupiters,7.29,2015,1.19 x Jupiter (estimate),Gas Giant,Radial Velocity,1.6 AU,1.5 years,0.15
Wolf 1061 d,,7.7 Earths,10.1,2015,0.24 x Jupiter (estimate),Neptune-like,Radial Velocity,0.47 AU,217.2 days,0.55
Wolf 1061 c,,3.41 Earths,10.1,2015,1.66 x Earth (estimate),Super Earth,Radial Velocity,0.089 AU,17.9 days,0.11
Wolf 1061 b,,1.91 Earths,10.1,2015,1.21 x Earth (estimate),Super Earth,Radial Velocity,0.0375 AU,4.9 days,0.15
HD 219134 h,,0.34 Jupiters,5.54,2015,1.14 x Jupiter (estimate),Gas Giant,Radial Velocity,3.11 AU,6.2 years,0.06
HD 219134 g,,10.80622 Earths,5.54,2015,0.293 x Jupiter (estimate),Neptune-like,Radial Velocity,0.3753 AU,94.2 days,0.0
HD 219134 f,,7.3 Earths,5.54,2015,1.31 x Earth,Super Earth,Radial Velocity,0.1463 AU,22.7 days,0.15
HD 175607 b,,8.98 Earths,8.6,2015,0.263 x Jupiter (estimate),Neptune-like,Radial Velocity,Unknown,29 days,0.11
KIC 9663113 b,,19.2 Earths,14.027,2015,0.41 x Jupiter,Neptune-like,Transit,1.4062 AU,1.6 years,0.0
KIC 3558849 b,,38.1 Earths,14.32,2015,0.616 x Jupiter,Neptune-like,Transit,Unknown,3.6 years,
HD 204313 c,,17.16273 Earths,7.99,2015,0.385 x Jupiter (estimate),Neptune-like,Radial Velocity,0.211 AU,35 days,0.06
HD 164595 b,,16.14 Earths,7.08597,2015,0.371 x Jupiter (estimate),Neptune-like,Radial Velocity,0.23 AU,40 days,0.09
HD 1461 c,,5.59 Earths,6.47933,2015,,,,,,
BD+20 274 b,,4.2 Jupiters,9.367,2012,1.16 x Jupiter (estimate),Gas Giant,Radial Velocity,1.3 AU,1.6 years,0.21
BD+20 2457 c,,12.47 Jupiters,9.743,2009,1.1 x Jupiter (estimate),Gas Giant,Radial Velocity,2.01 AU,1.7 years,0.18
BD+20 2457 b,,21.42 Jupiters,9.743,2009,1.08 x Jupiter (estimate),Gas Giant,Radial Velocity,1.45 AU,379.6 days,0.15
BD-17 63 b,,5.1 Jupiters,9.62,2008,1.15 x Jupiter (estimate),Gas Giant,Radial Velocity,1.34 AU,1.8 years,0.54
BD+15 2940 b,,1.11 Jupiters,9.01,2013,1.23 x Jupiter (estimate),Gas Giant,Radial Velocity,0.539 AU,137.5 days,0.26
BD+14 4559 b,,1.04 Jupiters,9.78,2009,1.23 x Jupiter (estimate),Gas Giant,Radial Velocity,0.78 AU,268.9 days,0.29
BD-13 2130 b,,9.78 Jupiters,10.038,2007,1.11 x Jupiter (estimate),Gas Giant,Radial Velocity,1.66 AU,2 years,0.21
BD-11 4672 b,,0.65 Jupiters,10.03,2014,1.25 x Jupiter (estimate),Gas Giant,Radial Velocity,2.36 AU,4.5 years,0.05
BD-10 3166 b,,0.59 Jupiters,10.013,2000,1.26 x Jupiter (estimate),Gas Giant,Radial Velocity,0.04 AU,3.5 days,0.02
BD-08 2823 c,,0.33 Jupiters,9.86,2009,1.11 x Jupiter (estimate),Gas Giant,Radial Velocity,0.68 AU,237.6 days,0.19
BD-08 2823 b,,12.7132 Earths,9.86,2009,0.322 x Jupiter (estimate),Neptune-like,Radial Velocity,0.06 AU,5.6 days,0.15
BD-06 1339 c,,0.17 Jupiters,9.7,2013,0.747 x Jupiter (estimate),Gas Giant,Radial Velocity,0.435 AU,125.9 days,0.31
BD-06 1339 b,,8.5 Earths,9.7,2013,0.254 x Jupiter (estimate),Neptune-like,Radial Velocity,0.0428 AU,3.9 days,0.0
2MASS J12073346-3932539 b,,5 Jupiters,20.15,2004,1.15 x Jupiter (estimate),Gas Giant,Imaging,55 AU,2885.9 years,
Xi Aquilae b,,1.941 Jupiters,4.70964,2007,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,0.625 AU,137 days,0.06
UZ Fornacis c,,7.7 Jupiters,16.7753,2011,Unknown,Gas Giant,Eclipse Timing Variations,2.8 AU,5.3 years,0.05
UZ Fornacis b,,6.3 Jupiters,16.7753,2011,Unknown,Gas Giant,Eclipse Timing Variations,5.9 AU,16 years,0.04
Upsilon Andromedae d,,10.25 Jupiters,4.1,1999,1.11 x Jupiter (estimate),Gas Giant,Radial Velocity,2.51329 AU,3.5 years,0.3
Upsilon Andromedae c,,13.98 Jupiters,4.1,1999,1.1 x Jupiter (estimate),Gas Giant,Radial Velocity,0.827774 AU,241.3 days,0.26
Upsilon Andromedae b,,0.6876 Jupiters,4.1,1996,1.25 x Jupiter (estimate),Gas Giant,Radial Velocity,0.059222 AU,4.6 days,0.02
Tau Geminorum b,,20.6 Jupiters,4.37799,2013,1.08 x Jupiter (estimate),Gas Giant,Radial Velocity,1.17 AU,305.5 days,0.03
Tau Bootis b,,5.95 Jupiters,4.48635,1996,1.14 x Jupiter (estimate),Gas Giant,Radial Velocity,0.049 AU,3.3 days,0.01
RR Caeli b,,4.2 Jupiters,14.379,2012,1.16 x Jupiter (estimate),Gas Giant,Eclipse Timing Variations,5.3 AU,11.9 years,0.0
Omicron Ursae Majoris b,,3.651 Jupiters,3.35214,2012,1.16 x Jupiter (estimate),Gas Giant,Radial Velocity,3.691 AU,4.3 years,0.15
Omicron Coronae Borealis b,,1.12 Jupiters,5.5052,2012,1.23 x Jupiter (estimate),Gas Giant,Radial Velocity,0.699 AU,187 days,0.1
Omega Serpentis b,,0.736 Jupiters,5.21644,2013,1.25 x Jupiter (estimate),Gas Giant,Radial Velocity,0.838 AU,278.6 days,0.18
NY Virginis b,,2.3 Jupiters,13.496,2011,1.19 x Jupiter (estimate),Gas Giant,Eclipse Timing Variations,3.3 AU,8.7 years,0.15
Nu Ophiuchi c,,24.662 Jupiters,3.31216,2012,1.07 x Jupiter (estimate),Gas Giant,Radial Velocity,5.829 AU,8.7 years,0.18
Nu Ophiuchi b,,22.206 Jupiters,3.31216,2012,1.07 x Jupiter (estimate),Gas Giant,Radial Velocity,1.765 AU,1.5 years,0.13
NN Serpentis d,,2.3 Jupiters,16.943,2010,1.19 x Jupiter (estimate),Gas Giant,Eclipse Timing Variations,3.43 AU,7.9 years,0.19
