Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
K2-136 b,59.2474,4.3 Earths,11.101,2017,1.014 x Earth,Super Earth,Transit,0.0707 AU,8 days,
KELT-20 b,136.426,3.382 Jupiters,7.59,2017,1.741 x Jupiter,Gas Giant,Transit,0.0542 AU,3.5 days,
MASCARA-1 b,182.273,3.7 Jupiters,8.28,2017,,,,,,
OGLE-2013-BLG-1721L b,6300,0.64 Jupiters,Unknown,2017,1.26 x Jupiter (estimate),Gas Giant,Microlensing,2.6 AU,6.2 years,
OGLE-2013-BLG-0132L b,3900,0.29 Jupiters,Unknown,2017,1.03 x Jupiter (estimate),Gas Giant,Microlensing,3.6 AU,9.3 years,
WASP-153 b,610.176,0.39 Jupiters,12.591,2017,1.55 x Jupiter,Gas Giant,Transit,0.048 AU,3.3 days,< 0.009
WASP-151 b,453.099,0.316 Jupiters,12.821,2017,1.187 x Jupiter,Gas Giant,Transit,0.055 AU,4.5 days,0
K2-133 d,75.1703,4.67 Earths,14.073,2017,2.003 x Earth,Super Earth,Transit,0.07487 AU,11 days,
K2-133 c,75.1703,3.2 Earths,14.073,2017,1.603 x Earth,Super Earth,Transit,0.04341 AU,4.9 days,
K2-133 b,75.1703,2.36 Earths,14.073,2017,1.34 x Earth,Super Earth,Transit,0.03194 AU,3.1 days,
K2-131 b,152.509,7.9 Earths,12.129,2017,1.69 x Earth,Super Earth,Transit,0.00936 AU,0.4 days,0
K2-132 b,609.818,0.49 Jupiters,12.071,2017,1.3 x Jupiter,Gas Giant,Transit,0.0916 AU,9.2 days,0.29
K2-130 b,118.011,2.1 Earths,12.676,2017,1.25 x Earth,Super Earth,Transit,0.032 AU,2.5 days,0.17
K2-129 b,27.7957,1.12 Earths,13.639,2017,1.04 x Earth,Super Earth,Transit,0.057 AU,8.2 days,0.13
K2-128 b,114.637,2.6 Earths,12.58,2017,1.42 x Earth,Super Earth,Transit,0.056 AU,5.7 days,0.23
K2-127 b,709.999,0.167 Jupiters,15.041,2017,0.747 x Jupiter,Gas Giant,Transit,0.0411 AU,3.6 days,0.12
K2-126 b,102.953,4.54 Earths,12.759,2017,1.97 x Earth,Super Earth,Transit,0.0656 AU,7.4 days,0.06
K2-125 b,124.156,5.39 Earths,16.4,2017,2.18 x Earth,Neptune-like,Transit,0.121 AU,21.8 days,0.08
K2-124 b,140.385,8.75 Earths,16.692,2017,0.259 x Jupiter,Neptune-like,Transit,0.049 AU,6.4 days,0.08
K2-123 b,161.555,8.05 Earths,14.781,2017,0.246 x Jupiter,Neptune-like,Transit,0.1649 AU,31 days,0.06
K2-122 b,72.0444,1.65 Earths,13.105,2017,1.16 x Earth,Super Earth,Transit,0.0373 AU,2.2 days,0.21
K2-121 b,169.398,0.139 Jupiters,13.229,2017,0.671 x Jupiter,Gas Giant,Transit,0.0629 AU,5.2 days,0.22
K2-120 b,289.543874,4.7 Earths,14.092,2017,2.01 x Earth,Super Earth,Transit,0.078 AU,9.6 days,0.14
K2-119 b,365.581,6.94 Earths,14.818,2017,,,,,,
K2-118 b,321.722,6.99 Earths,14,2017,0.227 x Jupiter,Neptune-like,Transit,0.245 AU,50.9 days,0.2
K2-117 c,101.632,4.9 Earths,14.639,2017,2.06 x Earth,Super Earth,Transit,0.0492 AU,5.4 days,0.15
K2-117 b,101.632,4.78 Earths,14.639,2017,2.03 x Earth,Super Earth,Transit,0.0189 AU,1.3 days,0.06
K2-116 b,49.3855,0.257 Earths,10.8,2017,,,,,,
WASP-47 e,264.78,9 Earths,11.936,2015,,,,,,
WASP-47 d,264.78,15.5 Earths,11.936,2015,0.326 x Jupiter,Neptune-like,Transit,0.085 AU,9 days,0
WASP-47 c,264.78,1.40642 Jupiters,11.936,2015,Unknown,Gas Giant,Radial Velocity,1.393 AU,1.6 years,0.26
WASP-41 c,163.371,3.18 Jupiters,11.632,2015,1.17 x Jupiter (estimate),Gas Giant,Radial Velocity,1.07 AU,421 days,0.29
Kepler-623 b,737.702,9.32 Earths,15.028,2016,0.269 x Jupiter,Neptune-like,Transit,0.0854 AU,9.1 days,0
Kepler-554 b,690.525,17 Earths,14.49,2016,0.383 x Jupiter,Neptune-like,Transit,0.0293 AU,1.9 days,0
Kepler-154 f,915.212,2.86 Earths,14.646,2016,1.5 x Earth,Super Earth,Transit,0.0871 AU,9.9 days,0
Kepler-154 e,915.212,2.86 Earths,14.646,2016,1.5 x Earth,Super Earth,Transit,0.047 AU,3.9 days,0
Kepler-154 d,915.212,14.1 Earths,14.646,2016,0.343 x Jupiter,Neptune-like,Transit,0.1415 AU,20.5 days,0
KELT-8 b,197.572,0.66 Jupiters,10.845,2015,1.62 x Jupiter,Gas Giant,Transit,0.0455 AU,3.2 days,0.04
KELT-6 c,240.726,3.71 Jupiters,10.371,2015,1.16 x Jupiter (estimate),Gas Giant,Radial Velocity,2.39 AU,3.5 years,0.21
K2-3 b,44.0727,5.11 Earths,12.168,2015,2.078 x Earth,Super Earth,Transit,0.0747 AU,10.1 days,0.11
K2-22 b,243.836,1.4 Jupiters,15.565,2015,0.205 x Jupiter,Neptune-like,Transit,0.009 AU,0.4 days,0.19
HAT-P-20 b,71.0374,7.246 Jupiters,11.231,2010,0.867 x Jupiter,Gas Giant,Transit,0.0361 AU,2.9 days,0.01
Kepler-553 c,728.525,6.7 Jupiters,15.034,2016,1.033 x Jupiter,Gas Giant,Transit,0.898 AU,328.2 days,0.35
Kepler-553 b,728.525,0.365 Jupiters,15.034,2016,0.423 x Jupiter,Gas Giant,Transit,0.04766 AU,4 days,0
Kepler-351 d,1083.91,7.85 Earths,16.229,2016,0.243 x Jupiter,Neptune-like,Transit,0.5177 AU,142.5 days,0
Kepler-335 c,1278.97,9.64 Earths,14.111,2014,0.274 x Jupiter,Neptune-like,Transit,0.356 AU,67.8 days,0
Kepler-335 b,1278.97,11.4 Earths,14.111,2014,0.302 x Jupiter,Neptune-like,Transit,0.075 AU,6.6 days,0
Kepler-334 d,426.59,2.57 Earths,12.834,2014,1.41 x Earth,Super Earth,Transit,0.168 AU,25.1 days,0
Kepler-334 b,426.59,1.46 Earths,12.834,2014,1.12 x Earth,Super Earth,Transit,0.061 AU,5.5 days,0
Kepler-333 c,324.413,1.41 Earths,15.052,2014,1.11 x Earth,Super Earth,Transit,0.135 AU,24.1 days,0
Kepler-333 b,324.413,28.2 Earths,15.052,2014,1.32 x Earth,Super Earth,Transit,0.087 AU,12.6 days,0
Kepler-332 c,344.19,1.32 Earths,14.243,2014,1.09 x Earth,Super Earth,Transit,0.114 AU,16 days,0
Kepler-332 b,344.19,1.71 Earths,14.243,2014,1.17 x Earth,Super Earth,Transit,0.07 AU,7.6 days,0
Kepler-331 d,580.119,3.33 Earths,16.199,2014,1.64 x Earth,Super Earth,Transit,0.159 AU,32.1 days,0
Kepler-331 c,580.119,4.04 Earths,16.199,2014,1.84 x Earth,Super Earth,Transit,0.105 AU,17.3 days,0
Kepler-330 c,717.527,4.46 Earths,15.569,2014,1.95 x Earth,Super Earth,Transit,0.116 AU,16 days,0
Kepler-330 b,717.527,2.39 Earths,15.569,2014,1.35 x Earth,Super Earth,Transit,0.075 AU,8.3 days,0
Kepler-329 c,439.719,4.38 Earths,15.886,2014,,,,,,
Kepler-328 b,2213.19,28.5 Earths,15.794,2013,2.3 x Earth,Super Earth,Transit,0.2199 AU,34.9 days,0
Kepler-327 d,241.987,3.64 Earths,15.611,2014,1.73 x Earth,Super Earth,Transit,0.09 AU,14 days,0
Kepler-327 b,241.987,1.41 Earths,15.611,2014,1.11 x Earth,Super Earth,Transit,0.029 AU,2.5 days,0
Kepler-326 d,487.675,6.9 Earths,13.734,2014,1.21 x Earth,Super Earth,Transit,0.066 AU,6.8 days,0
Kepler-326 c,487.675,17.4 Earths,13.734,2014,1.4 x Earth,Super Earth,Transit,0.051 AU,4.6 days,0
Kepler-326 b,487.675,0.14 Jupiters,13.734,2014,1.52 x Earth,Super Earth,Transit,0.032 AU,2.2 days,0
Kepler-325 c,823.242,6.99 Earths,15.175,2014,0.227 x Jupiter,Neptune-like,Transit,0.105 AU,12.8 days,0
Kepler-325 b,823.242,8.8 Earths,15.175,2014,,,,,,
Kepler-324 c,501.574,10.1 Earths,14.222,2014,0.281 x Jupiter,Neptune-like,Transit,0.26 AU,51.8 days,0
Kepler-323 c,454.883,6.8 Earths,12.78,2014,1.57 x Earth,Super Earth,Transit,0.0458 AU,3.6 days,< 0.095
Kepler-1063 b,343.226,2.83 Earths,13.029,2016,1.49 x Earth,Super Earth,Transit,0.1176 AU,14.1 days,0
Kepler-1061 b,543.375,4.58 Earths,13.319,2016,1.98 x Earth,Super Earth,Transit,0.0384 AU,2.8 days,0
Kepler-1060 b,946.565,6.26 Earths,14.827,2016,0.212 x Jupiter,Neptune-like,Transit,0.2495 AU,46.9 days,0
Kepler-1059 b,713.167,3.64 Earths,15.785,2016,1.73 x Earth,Super Earth,Transit,0.044 AU,3.8 days,0
Kepler-1058 b,491.997,7.85 Earths,15.869,2016,0.243 x Jupiter,Neptune-like,Transit,0.3679 AU,111 days,0
Kepler-1056 b,982.51,9.32 Earths,14.772,2016,0.269 x Jupiter,Neptune-like,Transit,0.1629 AU,27.5 days,0
Kepler-1055 b,389.397,2.04 Earths,13.194,2016,1.23 x Earth,Super Earth,Transit,0.0331 AU,2.3 days,0
Kepler-1054 b,1090.51,7.41 Earths,14.143,2016,0.235 x Jupiter,Neptune-like,Transit,0.054 AU,4.3 days,0
Kepler-1053 b,151.129,0.904 Earths,13.576,2016,0.98 x Earth,Terrestrial,Transit,0.0315 AU,2.4 days,0
