Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
K2-207 b,363.064,7.3 Earths,13.175,2018,,,,,,
K2-206 b,244.443,8.22 Earths,13.084,2018,0.249 x Jupiter,Neptune-like,Transit,Unknown,18.3 days,
K2-205 b,405.301,4.64 Earths,12.45,2018,1.996 x Earth,Super Earth,Transit,Unknown,26.7 days,
K2-204 b,577.235,9.51 Earths,12.985,2018,0.272 x Jupiter,Neptune-like,Transit,Unknown,7.1 days,
K2-203 b,166.147,2.45 Earths,12.391,2018,1.371 x Earth,Super Earth,Transit,Unknown,9.7 days,
K2-202 b,300.397,5.91 Earths,13.354,2018,0.205 x Jupiter,Neptune-like,Transit,Unknown,3.4 days,
K2-201 c,197.932,10.8 Earths,12.168,2018,0.293 x Jupiter,Neptune-like,Transit,Unknown,22.8 days,0.03
K2-201 b,197.932,2.54 Earths,12.168,2018,1.4 x Earth,Super Earth,Transit,Unknown,1.1 days,0.02
K2-200 b,184.131,2.43 Earths,12.428,2018,1.364 x Earth,Super Earth,Transit,Unknown,2.8 days,
K2-199 c,107.518,12.4 Earths,12.358,2018,0.254 x Jupiter,Neptune-like,Transit,0.0662 AU,7.4 days,
K2-199 b,107.518,6.9 Earths,12.358,2018,1.73 x Earth,Super Earth,Transit,0.0382 AU,3.2 days,
K2-198 b,110.567,16.3 Earths,10.971,2018,0.374 x Jupiter,Neptune-like,Transit,Unknown,17 days,
K2-197 b,247.637,7.08 Earths,12.199,2018,0.228 x Jupiter,Neptune-like,Transit,0.0806 AU,8.4 days,
K2-196 b,584.877,12.6 Earths,12.241,2018,0.321 x Jupiter,Neptune-like,Transit,Unknown,48.3 days,
K2-195 c,315.014,7.16 Earths,12.524,2018,0.23 x Jupiter,Neptune-like,Transit,Unknown,28.5 days,
K2-195 b,315.014,9.96 Earths,12.524,2018,0.279 x Jupiter,Neptune-like,Transit,0.1208 AU,15.9 days,
K2-194 b,629.51,12.9 Earths,12.998,2018,0.325 x Jupiter,Neptune-like,Transit,Unknown,39.7 days,
K2-193 b,411.923,14.8 Earths,13.341,2018,0.352 x Jupiter,Neptune-like,Transit,0.1184 AU,14.8 days,
K2-192 b,221.753,2.92 Earths,12.656,2018,1.52 x Earth,Super Earth,Transit,0.049 AU,4.2 days,
K2-191 b,287.188,3.12 Earths,13.329,2018,1.579 x Earth,Super Earth,Transit,Unknown,2.9 days,
K2-190 c,160.679,1.34 Earths,11.138,2018,1.093 x Earth,Super Earth,Transit,Unknown,21.6 days,
K2-190 b,160.679,2.41 Earths,11.138,2018,1.357 x Earth,Super Earth,Transit,Unknown,10.1 days,
K2-189 c,242.113,6.8 Earths,12.398,2018,0.223 x Jupiter,Neptune-like,Transit,0.068 AU,6.7 days,
K2-189 b,242.113,2.92 Earths,12.398,2018,1.52 x Earth,Super Earth,Transit,0.0361 AU,2.6 days,
K2-188 c,446.821,8.4 Earths,12.657,2018,0.252 x Jupiter,Neptune-like,Transit,0.0785 AU,7.8 days,
K2-188 b,446.821,2.39 Earths,12.657,2018,1.35 x Earth,Super Earth,Transit,0.0289 AU,1.7 days,
K2-187 e,330.916,4.27 Earths,13.102,2018,1.9 x Earth,Super Earth,Transit,0.1106 AU,13.6 days,
K2-187 d,330.916,6.35 Earths,13.102,2018,0.214 x Jupiter,Neptune-like,Transit,0.072 AU,7.1 days,
K2-187 c,330.916,2.54 Earths,13.102,2018,1.4 x Earth,Super Earth,Transit,0.0392 AU,2.9 days,
K2-187 b,330.916,1.87 Earths,13.102,2018,1.2 x Earth,Super Earth,Transit,0.0164 AU,0.8 days,
K2-186 b,330.739,10.2 Earths,12.413,2018,0.283 x Jupiter,Neptune-like,Transit,Unknown,41.5 days,
K2-185 b,268.357,1.6 Earths,12.235,2018,1.15 x Earth,Super Earth,Transit,Unknown,10.6 days,
K2-184 b,75.5857,2.76 Earths,10.345,2018,1.47 x Earth,Super Earth,Transit,0.1685 AU,17 days,
K2-183 d,329.041,5.9 Earths,12.867,2018,,,,,,0.04
K2-183 c,329.041,5.9 Earths,12.867,2018,,,,,,
K2-183 b,329.041,1.37 Earths,12.867,2018,1.1 x Earth,Super Earth,Transit,Unknown,0.5 days,
K2-182 b,154.83,20 Earths,11.833,2018,0.24 x Jupiter,Neptune-like,Transit,0.0526 AU,4.7 days,0
K2-181 b,360.911,8.45 Earths,12.669,2018,0.253 x Jupiter,Neptune-like,Transit,0.0706 AU,6.9 days,
K2-80 d,200.802,7.04 Earths,12.694,2018,0.228 x Jupiter,Neptune-like,Transit,Unknown,28.9 days,
K2-180 b,203.896,11.44182 Earths,12.557,2018,2.52 x Earth,Super Earth,Transit,0.0734 AU,8.9 days,
K2-179 b,190.81,6.86 Earths,12.939,2018,0.224 x Jupiter,Neptune-like,Transit,Unknown,5.2 days,
K2-178 b,214.753,12.4 Earths,12.382,2018,0.317 x Jupiter,Neptune-like,Transit,Unknown,8.7 days,
K2-177 b,492.167,5.13 Earths,12.681,2018,2.116 x Earth,Neptune-like,Transit,Unknown,14.2 days,
K2-176 b,247.302,2.83 Earths,12.909,2018,1.491 x Earth,Super Earth,Transit,Unknown,5.3 days,
K2-175 b,247.266,4.81 Earths,10.836,2018,2.038 x Earth,Super Earth,Transit,Unknown,9.5 days,
K2-174 b,99.9293,7.27 Earths,12.456,2018,0.232 x Jupiter,Neptune-like,Transit,0.126 AU,19.6 days,
K2-173 b,228.641,3.22 Earths,12.523,2018,1.608 x Earth,Super Earth,Transit,Unknown,5.9 days,
K2-172 c,249.742,10.4 Earths,12.5,2018,0.286 x Jupiter,Neptune-like,Transit,Unknown,29.6 days,
K2-172 b,249.742,3.42 Earths,12.5,2018,1.666 x Earth,Super Earth,Transit,Unknown,14.3 days,
K2-171 b,606.128,7.69 Earths,12.745,2018,0.24 x Jupiter,Neptune-like,Transit,Unknown,5.6 days,
K2-170 c,392.872,3.9 Earths,12.668,2018,1.802 x Earth,Super Earth,Transit,Unknown,12.4 days,
K2-170 b,392.872,2.6 Earths,12.668,2018,1.418 x Earth,Super Earth,Transit,Unknown,7.6 days,
K2-169 b,235.867,2.16 Earths,12.23,2018,1.273 x Earth,Super Earth,Transit,Unknown,6.4 days,0
K2-230 b,540.773,4.5 Earths,12.789,2018,,,,,,
K2-229 c,102.564,21.3 Earths,10.985,2018,,,,,,
K2-229 b,102.564,2.49 Earths,10.985,2018,1.0 x Earth,Super Earth,Transit,0.0131 AU,0.6 days,
K2-228 b,129.46,1.92 Earths,13.028,2018,1.21 x Earth,Super Earth,Transit,0.0338 AU,2.7 days,
K2-227 b,187.234,3.41 Earths,12.015,2018,1.666 x Earth,Super Earth,Transit,Unknown,13.6 days,
K2-226 b,211.265,2.99 Earths,12.337,2018,1.54 x Earth,Super Earth,Transit,0.0413 AU,3.3 days,
