Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
Kepler-690 b,1665.31,29.6 Earths,15.701,2016,0.531 x Jupiter,Neptune-like,Transit,0.081 AU,7.7 days,0
Kepler-68 d,144.166,0.84007 Jupiters,10.077,2013,1.24 x Jupiter (estimate),Gas Giant,Radial Velocity,1.469 AU,1.7 years,0.1
Kepler-689 b,1131.73,8.7 Earths,15.938,2016,,,,,,
Kepler-688 b,1357.75,0.216 Jupiters,15.805,2016,0.871 x Jupiter,Gas Giant,Transit,0.046 AU,3.9 days,0
Kepler-687 b,633.66,12.2 Earths,15.695,2016,0.314 x Jupiter,Neptune-like,Transit,0.1326 AU,20.5 days,0
Kepler-686 b,1490.94,Unknown,16.02,2016,1.084 x Jupiter,Gas Giant,Transit,0.0258 AU,1.6 days,0
Kepler-66 b,1202.96,8.25 Earths,15.29,2013,0.25 x Jupiter,Neptune-like,Transit,0.1352 AU,17.8 days,0
Kepler-685 b,938.715,0.248 Jupiters,15.186,2016,0.944 x Jupiter,Gas Giant,Transit,0.0265 AU,1.6 days,0
Kepler-684 b,1731.27,11.2 Earths,15.695,2016,0.3 x Jupiter,Neptune-like,Transit,0.064 AU,6.8 days,0
Kepler-683 b,1023.07,4.54 Earths,15.072,2016,1.97 x Earth,Super Earth,Transit,0.0355 AU,2.5 days,0
Kepler-682 b,1979.25,0.134 Jupiters,15.556,2016,0.658 x Jupiter,Gas Giant,Transit,0.1058 AU,12.6 days,0
Kepler-681 b,686.923,9.69 Earths,15.584,2016,0.275 x Jupiter,Neptune-like,Transit,0.1635 AU,26.4 days,0
Kepler-680 b,1492.48,6.44 Earths,15.321,2016,0.216 x Jupiter,Neptune-like,Transit,0.0469 AU,3.7 days,0
Kepler-1152 b,215.233,0.59 Earths,15.31,2016,,,,,,
Kepler-1151 b,682.436,5.56 Earths,15.005,2016,,,,,,
Kepler-1150 b,358.518,1.04 Earths,14.748,2016,1.02 x Earth,Super Earth,Transit,0.0382 AU,2.8 days,0
Kepler-1148 b,625.692,3.5 Earths,15.533,2016,1.69 x Earth,Super Earth,Transit,0.0188 AU,1.1 days,0
Kepler-1147 b,1657.36,7.32 Earths,15.613,2016,0.233 x Jupiter,Neptune-like,Transit,0.0961 AU,10.6 days,0
Kepler-1146 b,703.038,2.04 Earths,15.953,2016,1.23 x Earth,Super Earth,Transit,0.0325 AU,2.4 days,0
Kepler-1145 b,691.961,2.54 Earths,15.471,2016,1.4 x Earth,Super Earth,Transit,0.0443 AU,4 days,0
Kepler-1143 c,555.189,12.6 Earths,15.493,2016,0.321 x Jupiter,Neptune-like,Transit,0.6477 AU,210.6 days,0
Kepler-1143 b,555.189,3.43 Earths,15.493,2016,1.67 x Earth,Super Earth,Transit,0.0371 AU,2.9 days,0
Kepler-1142 b,1273.51,2.76 Earths,14.505,2016,,,,,,
Kepler-1141 b,393.642,0.477 Earths,12.403,2016,0.82 x Earth,Terrestrial,Transit,0.0345 AU,2.3 days,0
Kepler-1140 b,656.48,8.1 Earths,15.751,2016,0.247 x Jupiter,Neptune-like,Transit,0.1478 AU,24.1 days,0
Kepler-1139 b,495.156,1.81 Earths,14.229,2016,1.19 x Earth,Super Earth,Transit,0.0165 AU,0.8 days,0
Kepler-1138 b,872.328,3.53 Earths,15.885,2016,1.7 x Earth,Super Earth,Transit,0.0415 AU,3.2 days,0
Kepler-1137 b,921.778,5.48 Earths,12.827,2016,2.2 x Earth,Neptune-like,Transit,0.1871 AU,23.9 days,0
Kepler-1136 b,491.406,3.33 Earths,16.037,2016,,,,,,
Kepler-1135 b,1314.64,4.08 Earths,14.545,2016,1.85 x Earth,Super Earth,Transit,0.3436 AU,77 days,0
Kepler-1134 b,944.445,7.46 Earths,16.233,2016,0.236 x Jupiter,Neptune-like,Transit,0.1242 AU,17.1 days,0
Kepler-1133 b,753.135,4.54 Earths,14.785,2016,1.97 x Earth,Super Earth,Transit,0.0983 AU,11.6 days,0
Kepler-1132 b,867.931,6.12 Earths,15.818,2016,0.21 x Jupiter,Neptune-like,Transit,0.2881 AU,62.9 days,0
Kepler-1131 b,1030.7,3.15 Earths,15.01,2016,1.59 x Earth,Super Earth,Transit,0.0459 AU,3.5 days,0
Kepler-1130 b,249.343,0.437 Earths,12.509,2016,0.8 x Earth,Terrestrial,Transit,0.059603 AU,5.5 days,0
Kepler-1129 c,1183.88,7.9 Earths,15.661,2016,0.244 x Jupiter,Neptune-like,Transit,0.3528 AU,76.5 days,0
Kepler-1129 b,1183.88,9.06 Earths,15.661,2016,0.264 x Jupiter,Neptune-like,Transit,0.1644 AU,24.3 days,0
Kepler-1128 b,1083.41,12.9 Earths,15.934,2016,0.326 x Jupiter,Neptune-like,Transit,0.302 AU,61.6 days,0
Kepler-1127 b,842.459,4.5 Earths,15.162,2016,1.96 x Earth,Super Earth,Transit,0.0556 AU,5.1 days,0
Kepler-1126 b,635.736,3.64 Earths,14.221,2016,1.73 x Earth,Super Earth,Transit,0.4126 AU,108.6 days,0
Kepler-1125 b,2011.41,4.04 Earths,15.042,2016,1.84 x Earth,Super Earth,Transit,0.1348 AU,17.7 days,0
CoRoT-7 c,159.906,8.4 Earths,11.728,2009,0.253 x Jupiter (estimate),Neptune-like,Radial Velocity,0.046 AU,3.7 days,0
CoRoT-3 b,768.771,21.66 Jupiters,13.448,2008,1.01 x Jupiter,Gas Giant,Transit,0.05783 AU,4.3 days,0
CoRoT-26 b,1045.18,0.52 Jupiters,15.861,2013,1.26 x Jupiter,Gas Giant,Transit,0.0526 AU,4.2 days,0
CoRoT-24 b,591.555,5.7 Earths,15.383,2014,0.33 x Jupiter,Neptune-like,Transit,0.056 AU,5.1 days,0
CoRoT-20 b,844.061,4.3 Jupiters,14.63,2011,0.84 x Jupiter,Gas Giant,Transit,0.09 AU,9.2 days,0.59
CoRoT-17 b,1176.12,2.43 Jupiters,16.29,2011,1.02 x Jupiter,Gas Giant,Transit,0.0461 AU,3.8 days,0
CoRoT-11 b,655.037,2.33 Jupiters,12.897,2010,1.43 x Jupiter,Gas Giant,Transit,0.0436 AU,3 days,0
Pr0211 c,182.714,7.79 Jupiters,12.163,2016,1.12 x Jupiter (estimate),Gas Giant,Radial Velocity,5.5 AU,13.3 years,0.71
KOI-94 d,477.052,0.334 Jupiters,12.314,2013,1.005 x Jupiter,Gas Giant,Transit,0.1684 AU,22.3 days,0.02
Kepler-679 b,922.244,9.32 Earths,15.771,2016,0.269 x Jupiter,Neptune-like,Transit,0.0983 AU,12.4 days,0
