Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
Kepler-1868 b,274.18,10.1 Earths,14.157,2021,0.281 x Jupiter,Neptune-like,Transit,0.6266 AU,211 days,0
Kepler-1834 b,500.395,2.73 Earths,15.18,2021,1.459 x Earth,Super Earth,Transit,0.0496 AU,4.6 days,0
Kepler-1825 b,430.254,2.61 Earths,14.605,2021,1.422 x Earth,Super Earth,Transit,0.0187 AU,1 days,0
Kepler-1816 b,437.823,4.53 Earths,14.734,2021,1.968 x Earth,Super Earth,Transit,0.3648 AU,91.5 days,0
Kepler-1802 b,636.694,3.43 Earths,15.905,2021,1.671 x Earth,Super Earth,Transit,0.0662 AU,15.5 days,0
Kepler-1783 b,264.078,2.3 Earths,13.309,2021,1.319 x Earth,Super Earth,Transit,0.077 AU,8.3 days,0
Kepler-1772 b,871.564,7.68 Earths,13.546,2021,,,,,,
Kepler-1769 b,438.412,18.2 Earths,12.487,2021,0.398 x Jupiter,Neptune-like,Transit,0.3987 AU,89.2 days,0
Kepler-1726 b,390.552,6.84 Earths,13.851,2021,0.224 x Jupiter,Neptune-like,Transit,0.1306 AU,18.4 days,0
Kepler-1723 b,811.278,8.65 Earths,14.383,2021,0.257 x Jupiter,Neptune-like,Transit,0.2249 AU,39.8 days,0
Kepler-1717 b,1008.79,9.21 Earths,13.323,2021,0.267 x Jupiter,Neptune-like,Transit,0.2014 AU,30.7 days,0
Kepler-1468 d,1899.24,11.1 Earths,15.111,2021,0.297 x Jupiter,Neptune-like,Transit,0.1456 AU,19.6 days,0
Kepler-1969 b,1204.54,3.47 Earths,15.851,2021,1.682 x Earth,Super Earth,Transit,0.0717 AU,6.6 days,0
Kepler-1917 b,909.037,4.23 Earths,15.474,2021,1.89 x Earth,Super Earth,Transit,0.103 AU,12.9 days,0
Kepler-1894 b,935.191,1.87 Earths,15.452,2021,1.201 x Earth,Super Earth,Transit,0.0385 AU,2.8 days,0
Kepler-1817 b,748.569,5.79 Earths,15.346,2021,0.203 x Jupiter,Neptune-like,Transit,0.2348 AU,44.3 days,0
Kepler-1797 b,1338.49,9.58 Earths,15.421,2021,0.273 x Jupiter,Neptune-like,Transit,0.1637 AU,23.4 days,0
Kepler-1786 b,863.909,10.1 Earths,14.088,2021,0.282 x Jupiter,Neptune-like,Transit,0.3659 AU,78.5 days,0
Kepler-1780 b,790.516,12.7 Earths,14.907,2021,0.322 x Jupiter,Neptune-like,Transit,0.4276 AU,109.4 days,0
GJ 367 b,9.41263,0.633 Earths,10.153,2021,0.699 x Earth,Terrestrial,Transit,0.00709 AU,0.3 days,0.06
OGLE-2019-BLG-0304L b,6980,0.51 Jupiters,Unknown,2021,1.27 x Jupiter (estimate),Gas Giant,Microlensing,1.23 AU,2.6 years,
KMT-2016-BLG-2605L b,6421,0.771 Jupiters,Unknown,2021,1.25 x Jupiter (estimate),Gas Giant,Microlensing,0.681 AU,2.3 years,
HD 29399 b,44.1518,1.57 Jupiters,5.79,2022,1.21 x Jupiter (estimate),Gas Giant,Radial Velocity,1.913 AU,2.4 years,0.05
HD 207897 b,28.2938,14.8 Earths,8.37,2021,2.343 x Earth,Super Earth,Transit,0.117 AU,16.2 days,0
HD 137496 c,155.317,7.66 Jupiters,9.899,2021,1.13 x Jupiter (estimate),Gas Giant,Radial Velocity,1.2163 AU,479.9 days,0.48
HD 137496 b,155.317,4.04 Earths,9.899,2021,1.31 x Earth,Super Earth,Transit,0.02732 AU,1.6 days,0
TOI-2257 b,57.7911,5.45 Earths,15.211,2021,,,,,,
HIP 97166 c,65.9501,8 Earths,9.92,2021,0.245 x Jupiter (estimate),Neptune-like,Radial Velocity,0.124 AU,16.4 days,0
HIP 97166 b,65.9501,19.1 Earths,9.92,2021,2.48 x Earth,Super Earth,Transit,0.091 AU,10.3 days,0.29
LHS 1678 c,19.8782,1.4 Earths,12.6,2021,0.941 x Earth,Super Earth,Transit,0.0327 AU,3.7 days,0.04
HD 96700 d,25.4111,12.7 Earths,6.51,2021,0.322 x Jupiter (estimate),Neptune-like,Radial Velocity,0.424 AU,103.5 days,0.27
HD 96700 c,25.4111,3.5 Earths,6.51,2021,1.69 x Earth (estimate),Super Earth,Radial Velocity,0.141 AU,19.9 days,< 0.293
HD 96700 b,25.4111,8.9 Earths,6.51,2021,0.261 x Jupiter (estimate),Neptune-like,Radial Velocity,0.0777 AU,8.1 days,< 0.138
HD 93385 d,43.3475,8.7 Earths,7.49,2021,0.258 x Jupiter (estimate),Neptune-like,Radial Velocity,0.2565 AU,45.9 days,0.09
HD 93385 c,43.3475,7.1 Earths,7.49,2021,0.229 x Jupiter (estimate),Neptune-like,Radial Velocity,0.112 AU,13.2 days,< 0.2
HD 93385 b,43.3475,4.2 Earths,7.49,2021,1.88 x Earth (estimate),Super Earth,Radial Velocity,0.0756 AU,7.3 days,< 0.295
HD 39194 d,26.4131,4 Earths,8.09,2021,1.83 x Earth (estimate),Super Earth,Radial Velocity,0.056 AU,5.6 days,< 0.207
HD 39194 c,26.4131,6.3 Earths,8.09,2021,,,,,,
HD 39194 b,26.4131,4 Earths,8.09,2021,1.83 x Earth (estimate),Super Earth,Radial Velocity,0.056 AU,5.6 days,< 0.207
HD 189567 c,17.9323,7 Earths,6.07,2021,0.227 x Jupiter (estimate),Neptune-like,Radial Velocity,0.197 AU,33.7 days,0.16
HD 189567 b,17.9323,8.5 Earths,6.07,2021,0.254 x Jupiter (estimate),Neptune-like,Radial Velocity,0.111 AU,14.3 days,< 0.189
HD 154088 b,18.2692,6.6 Earths,6.59,2021,0.219 x Jupiter (estimate),Neptune-like,Radial Velocity,0.134 AU,18.6 days,< 0.344
LHS 1678 b,19.8782,0.35 Earths,12.6,2021,0.685 x Earth,Terrestrial,Transit,0.01239 AU,0.9 days,0.03
CD Ceti b,8.60715,3.95 Earths,13.95,2020,1.82 x Earth (estimate),Super Earth,Radial Velocity,0.0185 AU,2.3 days,
EPIC 206042996 c,451.769,1.87 Earths,16.59,2021,1.2 x Earth,Super Earth,Transit,Unknown,0.4 days,
EPIC 206024342 c,369.888,2.54 Earths,13.096,2021,1.4 x Earth,Super Earth,Transit,Unknown,0.9 days,
TOI-2285 b,42.409,19.5 Earths,13.403,2021,1.74 x Earth,Super Earth,Transit,0.1363 AU,27.3 days,0.3
HD 25723 b,114.816,2.5 Jupiters,5.60075,2020,1.18 x Jupiter (estimate),Gas Giant,Radial Velocity,1.49 AU,457 days,0.04
GJ 9689 b,30.6203,9.65 Earths,11.297,2020,0.274 x Jupiter (estimate),Neptune-like,Radial Velocity,0.1139 AU,18.3 days,0.29
EPIC 228836835 b,150.124,1.37 Earths,16.77,2021,1.1 x Earth,Super Earth,Transit,Unknown,0.7 days,
EPIC 220492298 b,624.512,0.937 Earths,13.991,2021,0.99 x Earth,Terrestrial,Transit,Unknown,0.8 days,
EPIC 212624936 c,561.929,5.9 Earths,13.976,2021,0.205 x Jupiter,Neptune-like,Transit,Unknown,11.8 days,
EPIC 212624936 b,561.929,1.87 Earths,13.976,2021,1.2 x Earth,Super Earth,Transit,Unknown,0.6 days,
EPIC 206024342 d,369.888,7.27 Earths,13.096,2021,0.232 x Jupiter,Neptune-like,Transit,Unknown,14.6 days,
EPIC 201595106 b,232.1,2.24 Earths,11.746,2021,1.3 x Earth,Super Earth,Transit,Unknown,0.9 days,
EPIC 201427007 b,706.391,2.86 Earths,14.321,2021,1.5 x Earth,Super Earth,Transit,Unknown,0.7 days,
17 Scorpii b,124.953,4.32 Jupiters,5.22606,2020,1.15 x Jupiter (estimate),Gas Giant,Radial Velocity,1.45 AU,1.6 years,0.06
TOI-3362 b,366.987,5.029 Jupiters,10.86,2021,1.142 x Jupiter,Gas Giant,Transit,0.153 AU,18.1 days,0.81
TOI-1789 b,229.067,0.7 Jupiters,9.721,2021,1.44 x Jupiter,Gas Giant,Transit,0.04882 AU,3.2 days,
