Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
Kepler-1705 b,1633.49,4.47 Earths,15.8,2014,2.03 x Earth,Neptune-like,Transit,0.08 AU,9 days,0.03
HIP 86221 b,29.4898,0.71 Jupiters,9.25,2021,1.25 x Jupiter (estimate),Gas Giant,Radial Velocity,0.031 AU,2.2 days,0.09
HIP 5763 b,31.9043,0.51 Jupiters,9.82,2021,1.27 x Jupiter (estimate),Gas Giant,Radial Velocity,0.17 AU,30 days,0.05
HIP 34222 b,22.8386,0.83 Jupiters,10.14,2021,1.24 x Jupiter (estimate),Gas Giant,Radial Velocity,0.492 AU,160 days,0.3
HD 99283 b,111.093,0.97 Jupiters,5.72916,2021,1.23 x Jupiter (estimate),Gas Giant,Radial Velocity,1.08 AU,310.4 days,0.2
HD 79181 b,103.335,0.64 Jupiters,5.72,2021,1.26 x Jupiter (estimate),Gas Giant,Radial Velocity,0.9 AU,273.1 days,0.26
HD 360 b,111.542,0.75 Jupiters,5.986,2021,1.25 x Jupiter (estimate),Gas Giant,Radial Velocity,0.98 AU,273.1 days,0.14
HD 219139 b,104.935,0.78 Jupiters,5.84863,2021,1.24 x Jupiter (estimate),Gas Giant,Radial Velocity,0.94 AU,275.5 days,0.11
HD 161178 b,107.188,0.57 Jupiters,5.88375,2021,1.26 x Jupiter (estimate),Gas Giant,Radial Velocity,0.85 AU,279.3 days,0.04
HD 10975 b,116.506,0.45 Jupiters,5.94188,2021,1.28 x Jupiter (estimate),Gas Giant,Radial Velocity,0.95 AU,283.8 days,0.44
Gamma Piscium b,41.3107,1.34 Jupiters,3.69252,2021,1.22 x Jupiter (estimate),Gas Giant,Radial Velocity,1.32 AU,1.5 years,0.2
BD+60 1417 b,44.9543,15 Jupiters,9.374,2021,1.31 x Jupiter,Gas Giant,Imaging,1662 AU,67794.6 years,
TOI-2109 b,262.041,5.02 Jupiters,10.217,2021,1.347 x Jupiter,Gas Giant,Transit,0.01791 AU,0.7 days,
TOI-1842 b,223.465,0.28128 Jupiters,9.815,2021,1.102 x Jupiter,Gas Giant,Transit,0.1 AU,9.6 days,0.28
HATS-77 b,436.176,1.374 Jupiters,16.195,2021,1.165 x Jupiter,Gas Giant,Transit,0.03607 AU,3.1 days,< 0.045
HATS-76 b,385.689,2.629 Jupiters,16.68,2021,1.079 x Jupiter,Gas Giant,Transit,0.02658 AU,1.9 days,< 0.062
HATS-75 b,194.964,0.491 Jupiters,15.689,2021,0.884 x Jupiter,Gas Giant,Transit,0.032742 AU,2.8 days,< 0.064
HATS-74 A b,299.389,1.46 Jupiters,17.26,2021,1.032 x Jupiter,Gas Giant,Transit,0.02384 AU,1.7 days,< 0.044
Kepler-633 c,680.54,5.89 Earths,13.812,2021,0.205 x Jupiter,Neptune-like,Transit,0.1618 AU,23.8 days,0
Kepler-281 d,1745.45,29.5 Earths,15.931,2021,0.53 x Jupiter,Neptune-like,Transit,0.5456 AU,148.3 days,0
Kepler-1940 b,798.595,3.01 Earths,15.674,2021,1.547 x Earth,Super Earth,Transit,0.0525 AU,5 days,0
Kepler-1938 b,421.152,4 Earths,15.246,2021,1.828 x Earth,Super Earth,Transit,0.0938 AU,13.1 days,0
Kepler-1934 b,428.514,0.702 Earths,12.874,2021,0.913 x Earth,Terrestrial,Transit,0.0245 AU,1.4 days,0
Kepler-1907 c,292.111,1.63 Earths,13.989,2021,1.155 x Earth,Super Earth,Transit,0.1076 AU,14.9 days,0
Kepler-1893 b,1050.72,3.55 Earths,15.152,2021,1.706 x Earth,Super Earth,Transit,0.0504 AU,4.2 days,0
