Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
HD 4203 c,81.3795,2.17 Jupiters,8.7,2014,1.19 x Jupiter (estimate),Gas Giant,Radial Velocity,6.95 AU,18.4 years,0.24
HD 4203 b,81.3795,2.23 Jupiters,8.7,2001,1.19 x Jupiter (estimate),Gas Giant,Radial Velocity,1.17 AU,431.9 days,0.52
HD 4113 b,41.8727,1.703 Jupiters,7.88,2007,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,1.28 AU,1.4 years,0.9
HD 3651 b,11.1081,0.228 Jupiters,5.863,2003,0.899 x Jupiter (estimate),Gas Giant,Radial Velocity,0.295 AU,62.3 days,0.65
HD 2952 b,110.103,0.896 Jupiters,5.9258,2013,1.24 x Jupiter (estimate),Gas Giant,Radial Velocity,1.117 AU,312.1 days,0.27
HD 2638 b,54.9621,0.42 Jupiters,9.44,2005,1.28 x Jupiter (estimate),Gas Giant,Radial Velocity,0.04 AU,3.4 days,0.0
HD 2039 b,85.6922,6.29 Jupiters,9,2002,1.14 x Jupiter (estimate),Gas Giant,Radial Velocity,2.2 AU,3.1 years,0.71
HD 180314 b,122.362,22.707 Jupiters,6.61519,2010,1.07 x Jupiter (estimate),Gas Giant,Radial Velocity,1.448 AU,394.7 days,0.25
HD 179949 b,27.4573,0.916 Jupiters,6.25,2000,1.24 x Jupiter (estimate),Gas Giant,Radial Velocity,0.0443 AU,3.1 days,0.02
HD 179079 b,69.7116,25.74423 Earths,7.95,2008,0.488 x Jupiter (estimate),Neptune-like,Radial Velocity,0.1214 AU,14.5 days,0.05
HD 178911 B b,40.9727,8.03 Jupiters,7.97,2001,1.12 x Jupiter (estimate),Gas Giant,Radial Velocity,0.34 AU,71.5 days,0.11
HD 1690 b,752.615,8.79 Jupiters,9.19,2010,1.12 x Jupiter (estimate),Gas Giant,Radial Velocity,1.36 AU,1.5 years,0.64
HD 1666 b,117.908,6.43 Jupiters,8.17,2015,1.13 x Jupiter (estimate),Gas Giant,Radial Velocity,0.94 AU,270 days,0.63
HD 1605 c,88.8047,3.62 Jupiters,7.52,2015,1.16 x Jupiter (estimate),Gas Giant,Radial Velocity,3.584 AU,5.9 years,0.1
