Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
K2-312 c,109.86,5.41 Jupiters,9.452,2023,1.14 x Jupiter (estimate),Gas Giant,Radial Velocity,1.961 AU,2.5 years,0.85
HIP 99770 b,40.0765,16.1 Jupiters,4.94292,2023,1.09 x Jupiter (estimate),Gas Giant,Imaging,16.9 AU,51 years,0.25
TOI-4406 b,261.834,0.3 Jupiters,10.937,2023,1.0 x Jupiter,Gas Giant,Transit,0.201 AU,30.1 days,0.15
TOI-2589 b,200.273,3.5 Jupiters,11.415,2023,1.08 x Jupiter,Gas Giant,Transit,0.3 AU,61.6 days,0.52
TOI-2338 b,313.996,5.98 Jupiters,12.483,2023,1.0 x Jupiter,Gas Giant,Transit,0.158 AU,22.7 days,0.68
PZ Telescopii b,47.0648,27 Jupiters,8.43,2023,1.07 x Jupiter (estimate),Gas Giant,Imaging,27 AU,120.5 years,0.52
OGLE-2018-BLG-1119L b,5760,0.91 Jupiters,Unknown,2022,1.24 x Jupiter (estimate),Gas Giant,Microlensing,4.06 AU,11.8 years,
OGLE-2018-BLG-0298L b,6540,0.14 Jupiters,Unknown,2022,0.674 x Jupiter (estimate),Gas Giant,Microlensing,2.86 AU,5.8 years,
KMT-2018-BLG-2602L b,4310,1.15 Jupiters,Unknown,2022,1.22 x Jupiter (estimate),Gas Giant,Microlensing,3.81 AU,9.2 years,
KMT-2018-BLG-0247L b,6760,2.11 Jupiters,Unknown,2022,1.19 x Jupiter (estimate),Gas Giant,Microlensing,2.46 AU,7.2 years,
KMT-2018-BLG-0087L b,7020,0.23 Jupiters,Unknown,2022,0.903 x Jupiter (estimate),Gas Giant,Microlensing,0.87 AU,2.6 years,
KMT-2018-BLG-0030L b,6480,1.45 Jupiters,Unknown,2022,1.21 x Jupiter (estimate),Gas Giant,Microlensing,4.39 AU,12.9 years,
TOI-4603 b,225.643,12.89 Jupiters,9.24,2023,1.042 x Jupiter,Gas Giant,Transit,0.0888 AU,7.2 days,0.33
TOI-1338 c,399.017,0.23723 Jupiters,11.722,2023,0.92 x Jupiter (estimate),Gas Giant,Radial Velocity,0.794 AU,215.8 days,0.04
TOI-1338 b,399.017,11.3 Earths,11.722,2020,0.683 x Jupiter,Neptune-like,Transit,0.4607 AU,95.4 days,0.03
KMT-2021-BLG-1105L b,4540,1.3 Jupiters,Unknown,2023,1.22 x Jupiter (estimate),Gas Giant,Microlensing,3.54 AU,8.4 years,
K2-415 b,21.8182,7.5 Earths,15.33,2023,1.015 x Earth,Super Earth,Transit,0.027 AU,4 days,
TOI-2096 c,48.4809,4.32 Earths,15.92,2023,1.914 x Earth,Super Earth,Transit,0.04 AU,6.4 days,0.1
TOI-2096 b,48.4809,2.08 Earths,15.92,2023,1.243 x Earth,Super Earth,Transit,0.025 AU,3.1 days,0.15
KMT-2021-BLG-2478L b,2970,0.9 Jupiters,Unknown,2023,1.24 x Jupiter (estimate),Gas Giant,Microlensing,1.85 AU,5.6 years,
KMT-2021-BLG-0909L b,6480,1.26 Jupiters,Unknown,2023,1.22 x Jupiter (estimate),Gas Giant,Microlensing,1.75 AU,3.8 years,
KMT-2021-BLG-0712L b,3090,38.19 Earths,Unknown,2023,0.616 x Jupiter (estimate),Gas Giant,Microlensing,2.22 AU,7.1 years,
HD 18438 b,224.146,21 Jupiters,5.50474,2023,1.08 x Jupiter (estimate),Gas Giant,Radial Velocity,2.1 AU,2.2 years,0.1
OGLE-2018-BLG-0799L b,4050,0.26 Jupiters,Unknown,2022,0.971 x Jupiter (estimate),Gas Giant,Microlensing,1.28 AU,4.8 years,
Kepler-1976 b,1314.51,Unknown,15.445,2023,1.043 x Jupiter,Gas Giant,Transit Timing Variations,0.0565 AU,5 days,0
HD 169142 b,113.6,3 Jupiters,8.156,2023,1.17 x Jupiter (estimate),Gas Giant,Imaging,37.2 AU,166.9 years,
TOI-5205 b,86.4493,1.08 Jupiters,15.899,2023,1.03 x Jupiter,Gas Giant,Transit,0.0199 AU,1.6 days,0.02
