Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
Kepler-1923 b,990.838,4.5 Earths,14.454,2021,1.96 x Earth,Super Earth,Transit,0.2846 AU,52.6 days,0
Kepler-1918 b,1030.11,5.89 Earths,15.533,2021,0.205 x Jupiter,Neptune-like,Transit,0.2524 AU,47.1 days,0
Kepler-1916 b,2055.82,7.35 Earths,15.779,2021,0.234 x Jupiter,Neptune-like,Transit,0.2053 AU,31.3 days,0
Kepler-1913 b,876.3,2.92 Earths,14.814,2021,1.519 x Earth,Super Earth,Transit,0.1209 AU,14.2 days,0
Kepler-1907 b,292.111,0.589 Earths,13.989,2021,0.87 x Earth,Terrestrial,Transit,0.0565 AU,5.7 days,0
Kepler-1906 b,1360.63,8.13 Earths,15.322,2021,0.248 x Jupiter,Neptune-like,Transit,0.0738 AU,7.4 days,0
Kepler-1888 b,402.947,2.32 Earths,12.099,2021,,,,,,
Kepler-1884 b,1443.09,3.95 Earths,15.433,2021,1.814 x Earth,Super Earth,Transit,0.0845 AU,9 days,0
Kepler-1883 b,1377.61,10.6 Earths,15.642,2021,0.29 x Jupiter,Neptune-like,Transit,0.4438 AU,103.4 days,0
Kepler-1877 b,285.312,0.179 Earths,12.29,2021,0.624 x Earth,Terrestrial,Transit,0.0351 AU,2.4 days,0
Kepler-1874 b,408.007,5.52 Earths,15.434,2021,2.211 x Earth,Neptune-like,Transit,0.2633 AU,56.6 days,0
Kepler-1856 b,848.76,3.66 Earths,15.621,2021,1.734 x Earth,Super Earth,Transit,0.0215 AU,1.3 days,0
Kepler-1853 b,562.348,2.92 Earths,15.229,2021,1.519 x Earth,Super Earth,Transit,0.2395 AU,48.9 days,0
Kepler-1844 b,1804.36,9.46 Earths,15.995,2021,0.271 x Jupiter,Neptune-like,Transit,0.0478 AU,3.9 days,0
Kepler-1840 b,513.107,8.13 Earths,15.192,2021,0.248 x Jupiter,Neptune-like,Transit,0.4644 AU,131.2 days,0
Kepler-1833 b,591.602,2.24 Earths,12.645,2021,1.3 x Earth,Super Earth,Transit,0.0771 AU,6.9 days,0
Kepler-1819 b,1363.19,14.5 Earths,15.489,2021,0.348 x Jupiter,Neptune-like,Transit,0.1337 AU,16.5 days,0
Kepler-1799 b,2254.69,15.9 Earths,15.99,2021,0.368 x Jupiter,Neptune-like,Transit,0.1028 AU,11.9 days,0
Kepler-1798 b,395.196,5.94 Earths,16.391,2021,0.206 x Jupiter,Neptune-like,Transit,0.1082 AU,16.9 days,0
