Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
TYC 8998-760-1 b,94.6177,14 Jupiters,11.124,2020,1.1 x Jupiter (estimate),Gas Giant,Imaging,162 AU,2063.1 years,
TOI-1130 c,58.2609,1.05717 Jupiters,11.595,2020,1.16 x Jupiter,Gas Giant,Transit,0.0731 AU,8.4 days,0.04
TOI-1130 b,58.2609,19.8 Earths,11.595,2020,0.327 x Jupiter,Neptune-like,Transit,0.0453 AU,4.1 days,0.05
OGLE-2016-BLG-1227L b,Unknown,0.79 Jupiters,Unknown,2020,1.24 x Jupiter (estimate),Gas Giant,Microlensing,3.4 AU,19.8 years,
NGTS-10 b,324.6986504,2.162 Jupiters,14.506,2020,1.205 x Jupiter,Gas Giant,Transit,0.0143 AU,0.8 days,0.0
KMT-2016-BLG-1836L b,7100,2.2 Jupiters,Unknown,2019,1.19 x Jupiter (estimate),Gas Giant,Microlensing,3.5 AU,9.4 years,
OGLE-2013-BLG-0911L b,3220,9.51 Jupiters,26.42,2019,1.12 x Jupiter (estimate),Gas Giant,Microlensing,0.39 AU,165.2 days,
MASCARA-4 b,170.696,3.1 Jupiters,8.191,2020,1.53 x Jupiter,Gas Giant,Transit,0.047 AU,2.8 days,0.0
LHS 1815 b,29.8424,1.58 Earths,12.167,2020,1.088 x Earth,Super Earth,Transit,0.0404 AU,3.8 days,0.0
TOI-132 b,163.678,22.4 Earths,11.197,2020,0.305 x Jupiter,Neptune-like,Transit,0.026 AU,2.1 days,0.06
Kepler-1661 b,410.607,17 Earths,14.357,2020,0.345 x Jupiter,Neptune-like,Transit,0.633 AU,175.1 days,0.06
HATS-72 b,127.589,39.85588 Earths,12.324,2020,0.722 x Jupiter,Gas Giant,Transit,0.066517 AU,7.3 days,< 0.013
HATS-49 b,324.413,0.353 Jupiters,14.988,2020,0.765 x Jupiter,Gas Giant,Transit,0.04515 AU,4.1 days,< 0.071
HATS-48 A b,263.609,0.243 Jupiters,14.226,2020,0.8 x Jupiter,Gas Giant,Transit,0.03769 AU,3.1 days,< 0.162
HATS-47 b,300.67,0.369 Jupiters,14.602,2020,1.117 x Jupiter,Gas Giant,Transit,0.04269 AU,3.9 days,< 0.088
GJ 1061 d,3.67278,1.64 Earths,12.7,2020,1.16 x Earth (estimate),Super Earth,Radial Velocity,0.054 AU,13 days,< 0.53
GJ 1061 c,3.67278,1.74 Earths,12.7,2020,1.18 x Earth (estimate),Super Earth,Radial Velocity,0.035 AU,6.7 days,< 0.29
GJ 1061 b,3.67278,1.37 Earths,12.7,2020,1.1 x Earth (estimate),Super Earth,Radial Velocity,0.021 AU,3.2 days,< 0.31
EPIC 249893012 d,321.296,10.18 Earths,11.429,2020,0.352 x Jupiter,Neptune-like,Transit,0.22 AU,35.7 days,0.15
EPIC 249893012 c,321.296,14.67 Earths,11.429,2020,0.327 x Jupiter,Neptune-like,Transit,0.13 AU,15.6 days,0.07
EPIC 249893012 b,321.296,8.75 Earths,11.429,2020,1.95 x Earth,Super Earth,Transit,0.047 AU,3.6 days,0.06
TOI-125 d,111.059,13.6 Earths,11.023,2020,0.261 x Jupiter,Neptune-like,Transit,0.137 AU,20 days,0.17
