Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
Kepler-888 b,420.817,3.75 Earths,13.061,2016,1.76 x Earth,Super Earth,Transit,0.328 AU,70.7 days,0.0
Kepler-887 c,886.588,1.51 Earths,13.52,2016,1.13 x Earth,Super Earth,Transit,0.0797 AU,7.6 days,0.0
Kepler-887 b,886.588,4.04 Earths,13.52,2016,1.84 x Earth,Super Earth,Transit,0.1536 AU,20.4 days,0.0
Kepler-886 b,711.297,2.92 Earths,14.054,2016,1.52 x Earth,Super Earth,Transit,0.067 AU,6.2 days,0.0
Kepler-885 b,651.318,6.8 Earths,12.948,2016,0.223 x Jupiter,Neptune-like,Transit,0.1432 AU,18.1 days,0.0
Kepler-304 e,434.684,1.87 Earths,15.065,2016,1.2 x Earth,Super Earth,Transit,0.0232 AU,1.5 days,0.0
KELT-10 b,188.404,0.679 Jupiters,10.617,2016,1.399 x Jupiter,Gas Giant,Transit,0.0525 AU,4.2 days,
Kepler-884 b,476.733,2.04 Earths,13.164,2016,1.23 x Earth,Super Earth,Transit,0.0622 AU,5.7 days,0.0
Kepler-882 b,504.605,2.04 Earths,14.188,2016,1.23 x Earth,Super Earth,Transit,0.0449 AU,4 days,0.0
Kepler-881 b,1375.18,3.82 Earths,15.281,2016,1.78 x Earth,Super Earth,Transit,0.0552 AU,4.4 days,0.0
Kepler-880 b,601.324,7.56 Earths,11.845,2016,0.237 x Jupiter,Neptune-like,Transit,0.0915 AU,7.7 days,0.0
Kepler-878 b,791.625,4.38 Earths,14.967,2016,1.93 x Earth,Super Earth,Transit,0.165 AU,25.9 days,0.0
Kepler-877 b,602.176,5.14 Earths,14.74,2016,2.12 x Earth,Neptune-like,Transit,0.1301 AU,18.5 days,0.0
Kepler-876 b,820.913,2.63 Earths,15.647,2016,1.43 x Earth,Super Earth,Transit,0.0549 AU,5.1 days,0.0
