Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
HAT-P-64 b,651.897,0.58 Jupiters,12.855,2021,1.703 x Jupiter,Gas Giant,Transit,0.05387 AU,4 days,< 0.101
HAT-P-63 b,403.458,0.614 Jupiters,13.657,2021,1.119 x Jupiter,Gas Giant,Transit,0.04294 AU,3.4 days,< 0.069
HAT-P-62 b,348.815,0.761 Jupiters,12.539,2021,1.073 x Jupiter,Gas Giant,Transit,0.03772 AU,2.6 days,< 0.101
HAT-P-61 b,338.84,1.057 Jupiters,13.096,2021,0.899 x Jupiter,Gas Giant,Transit,0.0301 AU,1.9 days,< 0.113
HAT-P-60 b,233.22,0.574 Jupiters,9.727,2021,1.631 x Jupiter,Gas Giant,Transit,0.06277 AU,4.8 days,< 0.25
HAT-P-59 b,265.471,1.54 Jupiters,11.64,2021,1.123 x Jupiter,Gas Giant,Transit,0.05064 AU,4.1 days,< 0.03
HAT-P-58 b,515.59,0.372 Jupiters,12.925,2021,1.332 x Jupiter,Gas Giant,Transit,0.04994 AU,4 days,< 0.073
TOI-2076 d,41.9091,29 Earths,9.139,2021,0.306 x Jupiter,Neptune-like,Transit,0.199 AU,35.1 days,0
TOI-2076 c,41.9091,0.17305 Jupiters,9.139,2021,0.33 x Jupiter,Gas Giant,Transit,0.142 AU,21 days,0
TOI-2076 b,41.9091,16.1 Earths,9.139,2021,2.771 x Earth,Super Earth,Transit,0.088 AU,10.4 days,0
TOI-1807 b,42.5775,2.44 Earths,10,2021,1.497 x Earth,Super Earth,Transit,0.0122 AU,0.5 days,0
TOI-1259 A b,118.106,0.441 Jupiters,12.079,2021,1.022 x Jupiter,Gas Giant,Transit,0.0407 AU,3.5 days,0
TOI-674 b,46.0851,23.6 Earths,14.203,2021,,,,,,
TOI-1685 b,37.6153,3.03 Earths,13.378,2021,1.468 x Earth,Super Earth,Transit,0.01138 AU,0.7 days,0
TOI-1634 b,35.2736,7.57 Earths,13.217,2021,1.773 x Earth,Super Earth,Transit,0.01545 AU,1 days,0
TOI-1260 c,73.5977,13.2 Earths,11.922,2021,2.76 x Earth,Super Earth,Transit,0.0657 AU,7.5 days,0
TOI-1260 b,73.5977,8.56 Earths,11.922,2021,2.41 x Earth,Super Earth,Transit,0.0367 AU,3.1 days,0
GJ 720 A b,15.5575,13.64 Earths,9.84,2021,0.336 x Jupiter (estimate),Neptune-like,Radial Velocity,0.119 AU,19.5 days,0.12
GJ 393 b,7.03149,1.71 Earths,9.65,2021,1.17 x Earth (estimate),Super Earth,Radial Velocity,0.05402 AU,7 days,
G 264-012 c,16.009,3.75 Earths,13.078,2021,1.76 x Earth (estimate),Super Earth,Radial Velocity,0.0525 AU,8.1 days,
G 264-012 b,16.009,2.5 Earths,13.078,2021,1.39 x Earth (estimate),Super Earth,Radial Velocity,0.02279 AU,2.3 days,
Kepler-129 d,408.845,8.3 Jupiters,11.809,2021,1.12 x Jupiter (estimate),Gas Giant,Radial Velocity,4 AU,7.2 years,0.15
GJ 849 c,8.80058,0.99 Jupiters,10.41,2014,1.23 x Jupiter (estimate),Gas Giant,Radial Velocity,4.95 AU,16.4 years,0.09
WASP-110 b,274.96,0.51 Jupiters,12.762,2021,1.238 x Jupiter,Gas Giant,Transit,Unknown,3.8 days,0
KOI-3503 c,887.064,10.36 Earths,13.831,2021,1.21 x Earth,Super Earth,Transit,0.1911 AU,31.8 days,0
KOI-3503 b,887.064,9.2 Earths,13.831,2021,1.19 x Earth,Super Earth,Transit,0.1462 AU,21.2 days,0
KOI-1833 d,290.324,11.02 Earths,14.626,2021,2.58 x Earth,Super Earth,Transit,0.0634 AU,7.7 days,0
KOI-1831 d,501.574,2.23 Earths,14.222,2021,1.13 x Earth,Super Earth,Transit,0.1949 AU,34.2 days,0
HD 95735 c,2.5461,13.6 Earths,7.421,2021,0.335 x Jupiter (estimate),Neptune-like,Radial Velocity,2.94 AU,8.1 years,0.13
HD 68988 c,60.8447,15 Jupiters,8.2,2021,1.09 x Jupiter (estimate),Gas Giant,Radial Velocity,13.2 AU,43.8 years,0.45
HD 66428 c,53.2817,1.764 Jupiters,8.25,2021,1.2 x Jupiter (estimate),Gas Giant,Radial Velocity,9.408 AU,28.7 years,0.21
HD 3765 b,17.926,0.173 Jupiters,7.36,2021,0.764 x Jupiter (estimate),Gas Giant,Radial Velocity,2.108 AU,3.3 years,0.3
HD 26161 b,40.9128,28.46 Jupiters,6.89333,2021,1.06 x Jupiter (estimate),Gas Giant,Radial Velocity,10.087 AU,30 years,0.92
HD 24040 c,46.6224,0.201 Jupiters,7.515,2021,0.834 x Jupiter (estimate),Gas Giant,Radial Velocity,1.3 AU,1.4 years,0.11
HD 213472 b,64.4527,3.5 Jupiters,8.17,2021,1.17 x Jupiter (estimate),Gas Giant,Radial Velocity,13 AU,46.6 years,0.53
