Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
Kepler-642 b,781.582,8.75 Earths,13.335,2016,0.259 x Jupiter,Neptune-like,Transit,0.0589 AU,4.4 days,0.0
Kepler-641 b,969.918,4.08 Earths,13.807,2016,1.85 x Earth,Super Earth,Transit,0.0879 AU,9.5 days,0.0
Kepler-4 b,487.916,24.472 Earths,12.285,2009,0.357 x Jupiter,Neptune-like,Transit,0.0456 AU,3.2 days,0.0
Kepler-416 c,690.819,6.57 Earths,14.166,2014,0.219 x Jupiter,Neptune-like,Transit Timing Variations,0.1021 AU,12.2 days,0.0
Kepler-415 b,530.487,0.377 Jupiters,16.142,2014,1.21 x Earth,Super Earth,Transit Timing Variations,0.0426 AU,4.2 days,0.0
Kepler-413 b,847.536,0.211 Jupiters,15.885,2014,0.388 x Jupiter,Gas Giant,Transit,0.3553 AU,66.3 days,0.12
Kepler-40 b,2305.01,2.2 Jupiters,14.657,2010,1.17 x Jupiter,Gas Giant,Transit,0.08 AU,6.9 days,0.0
Kepler-407 c,338.368,12.6 Jupiters,12.603,2014,1.1 x Jupiter (estimate),Gas Giant,Radial Velocity,3.270904 AU,8.2 years,0.22
Kepler-406 b,364.03,6.35 Earths,12.603,2014,1.43 x Earth,Super Earth,Transit,0.035974 AU,2.4 days,0.0
Kepler-404 b,812.524,2.15 Earths,15.479,2014,1.27 x Earth,Super Earth,Transit,0.102 AU,11.8 days,0.0
Kepler-402 d,625.339,2.48 Earths,13.27,2014,1.38 x Earth,Super Earth,Transit,0.087 AU,8.9 days,0.0
Kepler-401 b,965.56,3.57 Earths,13.366,2014,1.71 x Earth,Super Earth,Transit,0.122 AU,14.4 days,0.0
Kepler-399 b,740.537,0.84 Earths,14.686,2014,0.96 x Earth,Terrestrial,Transit,0.103 AU,14.4 days,0.0
Kepler-398 b,177.355,0.749 Earths,13.499,2014,0.93 x Earth,Terrestrial,Transit,0.044 AU,4.1 days,0.0
Kepler-397 c,969,31.6 Earths,16.357,2014,0.551 x Jupiter,Neptune-like,Transit,0.48 AU,135.5 days,0.0
Kepler-397 b,969,6.62 Earths,16.357,2014,,,,,,
Kepler-396 c,223.757,17.9 Earths,12.259,2013,0.473 x Jupiter,Neptune-like,Transit,0.378 AU,88.5 days,0.0
Kepler-396 b,223.757,0.238 Jupiters,12.259,2013,0.312 x Jupiter,Gas Giant,Transit,0.2336 AU,43 days,0.0
Kepler-395 c,421.382,2.3 Earths,16.5919,2014,1.32 x Earth,Super Earth,Transit,0.177 AU,35 days,0.0
Kepler-395 b,421.382,1.08 Earths,16.5919,2014,1.03 x Earth,Super Earth,Transit,0.061 AU,7.1 days,0.0
Kepler-394 c,1058.72,3.39 Earths,14.948,2014,1.66 x Earth,Super Earth,Transit,0.11 AU,12.1 days,0.0
Kepler-394 b,1058.72,3.19 Earths,14.948,2014,1.6 x Earth,Super Earth,Transit,0.083 AU,8 days,0.0
Kepler-393 c,881.404,2.33 Earths,13.258,2014,1.33 x Earth,Super Earth,Transit,0.124 AU,14.6 days,0.0
Kepler-393 b,881.404,2.21 Earths,13.258,2014,1.29 x Earth,Super Earth,Transit,0.091 AU,9.2 days,0.0
Kepler-392 c,681.428,1.37 Earths,13.528,2014,1.1 x Earth,Super Earth,Transit,0.093 AU,10.4 days,0.0
Kepler-390 c,435.277,0.418 Earths,14.231,2014,0.79 x Earth,Terrestrial,Transit,0.101 AU,13.1 days,0.0
Kepler-388 c,425,0.566 Earths,15.218,2014,0.86 x Earth,Terrestrial,Transit,0.093 AU,13.3 days,0.0
