Planet Name,Parsecs from Earth,Planet Mass,Stellar Magnitude,Discovery Date,Planet Radius,Planet Type,Discovery Method,Orbital Radius,Orbital Period,Eccentricity
Kepler-372 c,1493.95,5.02 Earths,14.928,2014,2.09 x Earth,Super Earth,Transit,0.154 AU,20.1 days,0.0
Kepler-372 b,1493.95,2.42 Earths,14.928,2014,1.36 x Earth,Super Earth,Transit,0.075 AU,6.8 days,0.0
Kepler-371 c,813.192,3.82 Earths,13.997,2014,1.78 x Earth,Super Earth,Transit,0.313 AU,68 days,0.0
Kepler-370 c,1167.94,4.31 Earths,15.467,2014,1.91 x Earth,Super Earth,Transit,0.14 AU,19 days,0.0
Kepler-370 b,1167.94,3.15 Earths,15.467,2014,1.59 x Earth,Super Earth,Transit,0.054 AU,4.6 days,0.0
Kepler-369 c,214,2.57 Earths,16.429,2014,1.41 x Earth,Super Earth,Transit,0.094 AU,14.9 days,0.0
Kepler-369 b,214,1.51 Earths,16.429,2014,1.13 x Earth,Super Earth,Transit,0.03 AU,2.7 days,0.0
Kepler-368 b,770.978,10.7 Earths,12.946,2014,0.291 x Jupiter,Neptune-like,Transit,0.186 AU,26.8 days,0.0
Kepler-367 c,188.027,1.87 Earths,13.193,2014,1.2 x Earth,Super Earth,Transit,0.253 AU,53.6 days,0.0
Kepler-367 b,188.027,2.24 Earths,13.193,2014,1.3 x Earth,Super Earth,Transit,0.201 AU,37.8 days,0.0
Kepler-366 b,1856.28,2.73 Earths,14.952,2014,1.46 x Earth,Super Earth,Transit,0.045 AU,3.3 days,0.0
Kepler-365 c,1038.99,3.33 Earths,14.771,2014,1.64 x Earth,Super Earth,Transit,0.137 AU,17.8 days,0.0
Kepler-365 b,1038.99,4.82 Earths,14.771,2014,2.04 x Earth,Super Earth,Transit,0.098 AU,10.7 days,0.0
Kepler-226 d,980.138,1.98 Earths,15.563,2014,1.22 x Earth,Super Earth,Transit,0.076 AU,8.1 days,0.0
Kepler-226 b,980.138,24 Earths,15.563,2014,1.55 x Earth,Super Earth,Transit,0.047 AU,3.9 days,0.0
Kepler-225 c,561.101,4.04 Earths,16.294,2014,,,,,,
Kepler-225 b,561.101,1.87 Earths,16.294,2014,1.2 x Earth,Super Earth,Transit,0.056 AU,6.7 days,0.0
Kepler-224 e,782.088,4.54 Earths,15.801,2014,1.97 x Earth,Super Earth,Transit,0.124 AU,18.6 days,0.0
Kepler-224 c,782.088,9.91 Earths,15.801,2014,0.278 x Jupiter,Neptune-like,Transit,0.058 AU,5.9 days,0.0
Kepler-224 b,782.088,2.51 Earths,15.801,2014,1.39 x Earth,Super Earth,Transit,0.038 AU,3.1 days,0.0
Kepler-223 e,1859.71,4.8 Earths,15.69,2014,0.41 x Jupiter,Neptune-like,Transit,0.1455 AU,19.7 days,0.05
Kepler-223 c,1859.71,5.1 Earths,15.69,2014,0.307 x Jupiter,Neptune-like,Transit,0.0916 AU,9.8 days,0.15
Kepler-223 b,1859.71,7.4 Earths,15.69,2014,,,,,,
Kepler-222 d,758.854,13.2 Earths,15.407,2014,0.329 x Jupiter,Neptune-like,Transit,0.18 AU,28.1 days,0.0
Kepler-222 b,758.854,10.1 Earths,15.407,2014,0.282 x Jupiter,Neptune-like,Transit,0.048 AU,3.9 days,0.0
Kepler-221 e,385.231,7.41 Earths,13.97,2014,,,,,,
Kepler-221 d,385.231,7.9 Earths,13.97,2014,0.244 x Jupiter,Neptune-like,Transit,0.087 AU,10 days,0.0
